,energy,playlist_genre
3118,0.793,pop
3119,0.911,pop
3121,0.857,pop
3122,0.88,pop
3139,0.664,pop
3143,0.562,pop
3144,0.793,pop
3404,0.536,pop
3416,0.877,pop
3417,0.848,pop
3418,0.626,pop
3419,0.869,pop
3420,0.905,pop
3421,0.69,pop
3422,0.486,pop
3423,0.792,pop
3427,0.876,pop
3430,0.692,pop
3612,0.846,pop
3613,0.776,pop
3616,0.856,pop
3617,0.666,pop
3618,0.865,pop
3619,0.8,pop
3620,0.512,pop
3621,0.719,pop
3622,0.847,pop
3623,0.56,pop
3624,0.735,pop
3625,0.746,pop
3626,0.782,pop
3627,0.854,pop
3628,0.934,pop
3630,0.891,pop
3631,0.763,pop
3632,0.728,pop
3633,0.614,pop
3634,0.646,pop
3635,0.709,pop
3636,0.55,pop
3637,0.775,pop
3638,0.823,pop
3653,0.637,pop
3680,0.905,pop
3681,0.75,pop
3683,0.673,pop
3689,0.584,pop
3690,0.795,pop
3691,0.739,pop
3695,0.588,pop
3696,0.993,pop
3697,0.733,pop
3698,0.961,pop
3699,0.77,pop
3700,0.714,pop
3701,0.646,pop
3702,0.55,pop
3717,0.77,pop
3718,0.463,pop
3722,0.308,pop
3723,0.74,pop
3724,0.568,pop
3725,0.603,pop
3726,0.603,pop
3727,0.209,pop
3728,0.744,pop
3755,0.52,pop
3756,0.569,pop
3757,0.666,pop
3758,0.863,pop
3759,0.88,pop
3760,0.805,pop
3761,0.787,pop
3762,0.722,pop
3800,0.666,pop
3827,0.857,pop
3828,0.65,pop
3829,0.694,pop
3830,0.755,pop
3831,0.857,pop
3832,0.757,pop
3833,0.78,pop
3834,0.517,pop
3835,0.889,pop
3836,0.718,pop
3837,0.801,pop
3838,0.727,pop
3839,0.94,pop
3840,0.729,pop
3841,0.899,pop
3843,0.842,pop
3844,0.752,pop
3845,0.608,pop
3849,0.792,pop
3850,0.714,pop
3857,0.711,pop
3859,0.931,pop
3860,0.688,pop
3862,0.532,pop
3874,0.861,pop
3875,0.786,pop
3876,0.834,pop
3877,0.911,pop
3880,0.852,pop
3881,0.574,pop
3882,0.972,pop
3883,0.718,pop
3884,0.894,pop
3885,0.755,pop
3933,0.756,pop
3934,0.794,pop
3935,0.54,pop
3936,0.565,pop
3937,0.406,pop
3938,0.951,pop
3939,0.622,pop
3940,0.231,pop
3941,0.312,pop
3945,0.726,pop
3946,0.787,pop
3947,0.837,pop
3948,0.706,pop
3949,0.768,pop
3950,0.678,pop
3951,0.856,pop
3952,0.811,pop
3964,0.879,pop
3965,0.859,pop
4077,0.853,pop
4080,0.787,pop
4081,0.828,pop
4082,0.887,pop
4083,0.744,pop
4084,0.731,pop
4085,0.87,pop
4086,0.902,pop
4087,0.903,pop
4088,0.773,pop
4090,0.873,pop
4091,0.718,pop
4092,0.91,pop
4093,0.913,pop
4094,0.775,pop
4095,0.842,pop
4096,0.833,pop
4097,0.543,pop
4098,0.979,pop
4099,0.926,pop
4100,0.672,pop
4101,0.855,pop
4102,0.934,pop
4103,0.897,pop
4104,0.757,pop
4105,0.862,pop
4106,0.722,pop
4107,0.911,pop
4108,0.883,pop
4109,0.782,pop
4110,0.904,pop
4111,0.923,pop
4112,0.794,pop
4113,0.94,pop
4114,0.804,pop
4115,0.722,pop
4116,0.82,pop
4117,0.674,pop
4118,0.812,pop
4119,0.868,pop
4120,0.644,pop
4121,0.9,pop
4122,0.793,pop
4123,0.786,pop
4124,0.921,pop
4125,0.637,pop
4126,0.806,pop
4127,0.824,pop
4135,0.796,pop
4136,0.638,pop
4137,0.752,pop
4138,0.793,pop
4139,0.935,pop
4140,0.805,pop
4141,0.856,pop
4142,0.732,pop
4143,0.925,pop
4144,0.799,pop
4145,0.715,pop
4146,0.713,pop
4148,0.966,pop
4157,0.747,pop
4180,0.554,pop
4181,0.364,pop
4182,0.458,pop
4186,0.859,pop
4187,0.871,pop
4188,0.716,pop
4189,0.834,pop
4196,0.485,pop
4197,0.601,pop
4198,0.453,pop
4199,0.461,pop
4200,0.769,pop
4201,0.751,pop
4202,0.772,pop
4203,0.854,pop
4204,0.766,pop
4205,0.71,pop
4206,0.65,pop
4207,0.864,pop
4208,0.644,pop
4209,0.886,pop
4215,0.449,pop
4216,0.647,pop
4219,0.639,pop
4221,0.831,pop
4222,0.699,pop
4223,0.619,pop
4238,0.43,pop
4244,0.833,pop
4245,0.827,pop
4246,0.497,pop
4247,0.476,pop
4248,0.53,pop
4249,0.763,pop
4250,0.569,pop
4251,0.811,pop
4254,0.703,pop
4255,0.721,pop
4256,0.487,pop
4257,0.311,pop
4258,0.688,pop
4259,0.588,pop
4260,0.544,pop
4261,0.56,pop
4262,0.447,pop
4263,0.786,pop
4264,0.568,pop
4265,0.928,pop
4266,0.535,pop
4267,0.604,pop
4268,0.716,pop
4269,0.793,pop
4270,0.48,pop
4271,0.614,pop
4272,0.964,pop
4282,0.55,pop
4283,0.45,pop
4284,0.729,pop
4285,0.703,pop
4286,0.598,pop
4287,0.676,pop
4288,0.68,pop
4289,0.84,pop
4290,0.811,pop
4291,0.41,pop
4292,0.764,pop
4293,0.823,pop
4294,0.83,pop
4295,0.757,pop
4296,0.825,pop
4297,0.693,pop
4298,0.854,pop
4299,0.726,pop
4300,0.585,pop
4301,0.907,pop
4302,0.924,pop
4303,0.765,pop
4304,0.523,pop
4305,0.754,pop
4306,0.674,pop
4307,0.733,pop
4308,0.826,pop
4309,0.705,pop
4310,0.872,pop
4461,0.738,pop
4462,0.544,pop
4463,0.756,pop
4464,0.858,pop
4465,0.794,pop
4466,0.817,pop
4467,0.722,pop
4468,0.718,pop
4469,0.87,pop
4470,0.844,pop
4471,0.826,pop
4472,0.842,pop
4473,0.684,pop
4474,0.714,pop
4475,0.829,pop
4476,0.829,pop
4477,0.712,pop
4478,0.721,pop
4479,0.679,pop
4480,0.918,pop
4481,0.814,pop
4482,0.749,pop
4483,0.712,pop
4564,0.493,pop
4565,0.485,pop
4566,0.702,pop
4570,0.787,pop
4571,0.777,pop
4572,0.843,pop
4573,0.664,pop
4574,0.593,pop
4575,0.81,pop
4577,0.489,pop
4578,0.925,pop
4579,0.541,pop
4580,0.713,pop
4584,0.52,pop
4585,0.61,pop
4586,0.497,pop
4587,0.705,pop
4588,0.767,pop
4628,0.698,pop
4642,0.741,pop
4643,0.877,pop
4997,0.667,pop
4998,0.925,pop
4999,0.93,pop
5000,0.825,pop
5001,0.806,pop
5002,0.635,pop
5003,0.633,pop
5004,0.867,pop
5005,0.693,pop
5006,0.657,pop
5007,0.598,pop
5008,0.525,pop
5009,0.752,pop
5010,0.928,pop
5011,0.771,pop
5028,0.806,pop
5029,0.781,pop
5052,0.864,pop
5053,0.726,pop
5054,0.83,pop
5055,0.992,pop
5056,0.833,pop
5057,0.831,pop
5058,0.815,pop
5059,0.837,pop
5060,0.814,pop
5061,0.838,pop
5062,0.869,pop
5063,0.901,pop
5064,0.915,pop
5065,0.818,pop
5066,0.938,pop
5071,0.909,pop
5073,0.923,pop
5074,0.764,pop
5075,0.856,pop
5076,0.833,pop
5077,0.93,pop
5118,0.921,pop
5159,0.666,pop
5171,0.893,pop
5172,0.956,pop
5173,0.773,pop
5174,0.928,pop
5175,0.931,pop
5176,0.859,pop
5177,0.81,pop
5178,0.854,pop
5179,0.815,pop
5180,0.815,pop
5181,0.913,pop
5182,0.821,pop
5183,0.862,pop
5184,0.801,pop
5185,0.786,pop
5186,0.995,pop
5187,0.955,pop
5188,0.903,pop
5189,0.84,pop
5190,0.789,pop
5191,0.697,pop
5192,0.821,pop
5206,0.76,pop
5208,0.779,pop
5209,0.838,pop
5210,0.905,pop
5212,0.889,pop
5218,0.76,pop
5219,0.899,pop
5220,0.78,pop
5221,0.509,pop
5222,0.633,pop
5228,0.565,pop
5229,0.772,pop
5230,0.429,pop
5231,0.727,pop
5233,0.729,pop
5234,0.833,pop
5235,0.859,pop
5236,0.847,pop
5619,0.582,pop
5620,0.743,pop
5621,0.736,pop
5622,0.792,pop
5628,0.656,pop
5629,0.855,pop
5630,0.837,pop
5631,0.733,pop
5632,0.756,pop
5633,0.536,pop
5634,0.877,pop
5635,0.7,pop
5636,0.501,pop
5637,0.833,pop
5638,0.75,pop
5639,0.784,pop
5640,0.703,pop
5641,0.683,pop
5642,0.33,pop
5643,0.661,pop
5644,0.726,pop
5645,0.831,pop
5646,0.634,pop
5647,0.674,pop
5648,0.759,pop
5649,0.633,pop
5650,0.762,pop
5651,0.874,pop
5652,0.833,pop
5653,0.684,pop
5654,0.843,pop
5655,0.546,pop
5656,0.552,pop
5657,0.592,pop
5658,0.686,pop
5659,0.598,pop
5660,0.889,pop
5661,0.791,pop
5662,0.777,pop
5780,0.892,pop
5781,0.635,pop
5782,0.709,pop
5783,0.798,pop
5784,0.809,pop
5785,0.632,pop
5786,0.599,pop
5787,0.693,pop
5788,0.584,pop
5789,0.762,pop
5790,0.962,pop
5791,0.712,pop
5792,0.616,pop
5793,0.65,pop
5794,0.594,pop
5795,0.866,pop
5796,0.578,pop
5811,0.9,pop
5812,0.418,pop
5813,0.617,pop
5871,0.817,pop
5872,0.722,pop
5900,0.664,pop
5901,0.911,pop
5920,0.687,pop
5921,0.914,pop
5922,0.68,pop
5923,0.821,pop
5924,0.716,pop
5925,0.551,pop
5926,0.811,pop
5927,0.659,pop
5928,0.795,pop
5942,0.799,pop
5943,0.785,pop
5944,0.843,pop
5960,0.811,pop
5961,0.6,pop
5962,0.986,pop
5963,0.823,pop
5964,0.679,pop
5965,0.862,pop
5966,0.758,pop
5967,0.656,pop
5968,0.655,pop
5981,0.907,pop
5982,0.82,pop
5983,0.478,pop
5984,0.887,pop
5985,0.862,pop
5986,0.883,pop
5987,0.951,pop
5988,0.891,pop
6001,0.61,pop
6002,0.767,pop
6003,0.799,pop
6004,0.717,pop
6005,0.822,pop
6018,0.878,pop
6019,0.741,pop
6020,0.843,pop
6021,0.681,pop
6022,0.858,pop
6023,0.873,pop
6024,0.857,pop
6025,0.668,pop
6026,0.846,pop
6027,0.412,pop
6028,0.599,pop
6029,0.616,pop
6030,0.777,pop
6031,0.804,pop
6032,0.705,pop
6033,0.591,pop
6034,0.531,pop
6035,0.52,pop
6036,0.668,pop
6037,0.812,pop
6038,0.903,pop
6047,0.9,pop
6048,0.806,pop
6054,0.538,pop
6055,0.73,pop
6056,0.59,pop
6057,0.517,pop
6058,0.419,pop
6059,0.926,pop
6060,0.928,pop
6061,0.934,pop
6062,0.726,pop
6063,0.55,pop
6064,0.63,pop
6065,0.832,pop
6066,0.91,pop
6067,0.656,pop
6068,0.588,pop
6069,0.554,pop
6070,0.777,pop
6071,0.754,pop
6072,0.612,pop
6076,0.651,pop
6083,0.976,pop
6084,0.694,pop
6085,0.949,pop
6092,0.463,pop
6106,0.579,pop
6108,0.983,pop
6109,0.879,pop
6115,0.954,pop
6116,0.729,pop
6125,0.688,pop
6126,0.911,pop
6132,0.956,pop
6133,0.569,pop
6134,0.463,pop
6152,0.574,pop
6153,0.711,pop
6154,0.883,pop
6155,0.85,pop
6156,0.652,pop
6157,0.571,pop
6158,0.687,pop
6159,0.763,pop
6160,0.71,pop
6161,0.814,pop
6162,0.664,pop
6163,0.666,pop
6164,0.779,pop
6165,0.825,pop
6166,0.682,pop
6169,0.669,pop
6170,0.724,pop
6171,0.477,pop
6213,0.819,pop
6249,0.786,pop
6250,0.625,pop
6273,0.81,pop
6274,0.782,pop
6275,0.86,pop
6276,0.616,pop
6277,0.785,pop
6278,0.601,pop
6279,0.81,pop
6394,0.594,pop
6395,0.7,pop
6396,0.343,pop
6397,0.35,pop
6398,0.502,pop
6407,0.541,pop
6426,0.548,pop
6507,0.78,pop
6508,0.964,pop
6562,0.772,pop
6563,0.627,pop
6564,0.719,pop
6565,0.553,pop
6580,0.342,pop
6596,0.901,pop
6597,0.464,pop
6598,0.801,pop
6599,0.511,pop
6600,0.566,pop
6601,0.154,pop
6649,0.803,pop
6650,0.762,pop
6651,0.416,pop
6652,0.566,pop
6653,0.538,pop
6654,0.464,pop
6655,0.607,pop
6656,0.443,pop
6657,0.599,pop
6821,0.268,pop
6822,0.854,pop
6823,0.736,pop
6824,0.811,pop
6833,0.699,pop
6834,0.933,pop
6836,0.792,pop
6843,0.717,pop
6844,0.939,pop
6845,0.843,pop
6846,0.876,pop
6847,0.73,pop
6848,0.724,pop
6849,0.931,pop
6850,0.747,pop
6878,0.782,pop
6879,0.521,pop
6881,0.828,pop
6911,0.886,pop
6927,0.713,pop
6928,0.915,pop
6929,0.693,pop
6936,0.751,pop
6937,0.817,pop
6938,0.543,pop
6981,0.815,pop
6982,0.802,pop
6983,0.321,pop
6984,0.882,pop
6985,0.559,pop
6991,0.624,pop
6996,0.756,pop
7003,0.862,pop
7004,0.839,pop
7005,0.656,pop
7316,0.681,pop
7317,0.828,pop
7318,0.609,pop
7319,0.717,pop
7320,0.525,pop
7338,0.583,pop
7339,0.619,pop
7340,0.506,pop
7341,0.396,pop
7351,0.801,pop
7352,0.389,pop
7353,0.315,pop
7363,0.652,pop
7364,0.248,pop
7365,0.355,pop
7366,0.372,pop
7367,0.687,pop
7369,0.867,pop
7370,0.167,pop
7371,0.539,pop
7372,0.593,pop
7373,0.42,pop
7376,0.497,pop
7377,0.787,pop
7378,0.182,pop
7379,0.738,pop
7380,0.788,pop
7381,0.731,pop
7382,0.515,pop
7383,0.225,pop
7384,0.75,pop
7385,0.362,pop
7386,0.513,pop
7387,0.432,pop
7388,0.5,pop
7389,0.927,pop
7390,0.389,pop
7391,0.662,pop
7392,0.64,pop
7393,0.47,pop
7395,0.608,pop
7396,0.848,pop
7401,0.798,pop
7404,0.697,pop
7408,0.622,pop
7409,0.616,pop
7410,0.585,pop
7411,0.55,pop
7412,0.397,pop
7413,0.756,pop
7414,0.873,pop
7415,0.67,pop
7419,0.285,pop
7420,0.591,pop
7421,0.509,pop
7422,0.85,pop
7424,0.724,pop
7425,0.388,pop
7428,0.929,pop
7429,0.648,pop
7430,0.865,pop
7431,0.575,pop
7432,0.49,pop
7433,0.811,pop
7436,0.612,pop
7437,0.292,pop
7438,0.74,pop
7439,0.701,pop
7440,0.327,pop
7441,0.867,pop
7442,0.774,pop
7443,0.329,pop
7444,0.654,pop
7445,0.299,pop
7446,0.418,pop
7447,0.782,pop
7448,0.518,pop
7449,0.611,pop
7450,0.756,pop
7451,0.835,pop
7452,0.483,pop
7457,0.481,pop
7458,0.412,pop
7461,0.887,pop
7462,0.63,pop
7463,0.899,pop
7464,0.696,pop
7465,0.786,pop
7466,0.87,pop
7467,0.991,pop
7468,0.695,pop
7469,0.512,pop
9009,0.81,pop
9010,0.876,pop
9011,0.889,pop
9012,0.834,pop
9013,0.845,pop
9014,0.683,pop
9015,0.392,pop
9016,0.419,pop
9017,0.423,pop
9018,0.678,pop
9026,0.632,pop
9027,0.914,pop
9028,0.517,pop
9029,0.478,pop
9030,0.505,pop
9211,0.938,pop
9212,0.453,pop
9244,0.424,pop
9245,0.493,pop
9246,0.381,pop
9259,0.883,pop
9260,0.538,pop
9261,0.556,pop
9281,0.702,pop
9282,0.574,pop
9359,0.787,pop
9360,0.338,pop
9361,0.852,pop
9374,0.599,pop
9382,0.478,pop
9384,0.587,pop
9385,0.656,pop
9386,0.607,pop
9387,0.882,pop
9388,0.396,pop
9389,0.789,pop
9390,0.773,pop
9391,0.823,pop
9392,0.635,pop
9393,0.805,pop
9394,0.796,pop
9395,0.888,pop
9396,0.682,pop
9397,0.536,pop
9398,0.908,pop
9399,0.824,pop
9400,0.693,pop
9410,0.89,pop
9411,0.833,pop
9412,0.583,pop
9413,0.379,pop
9414,0.614,pop
9415,0.497,pop
9417,0.589,pop
9848,0.664,pop
9849,0.522,pop
9937,0.423,pop
9951,0.716,pop
9952,0.658,pop
9953,0.578,pop
9954,0.663,pop
9955,0.803,pop
9956,0.708,pop
9957,0.485,pop
9958,0.319,pop
9959,0.578,pop
9965,0.71,pop
9966,0.743,pop
9967,0.545,pop
9968,0.443,pop
9969,0.879,pop
9970,0.398,pop
9971,0.565,pop
9972,0.478,pop
9973,0.712,pop
9974,0.727,pop
9975,0.696,pop
9976,0.613,pop
9977,0.504,pop
9978,0.778,pop
9979,0.827,pop
9980,0.509,pop
9981,0.427,pop
9982,0.549,pop
9983,0.544,pop
9984,0.439,pop
9985,0.475,pop
9986,0.551,pop
9987,0.351,pop
9988,0.581,pop
9989,0.618,pop
9995,0.722,pop
9996,0.496,pop
9997,0.544,pop
9998,0.642,pop
9999,0.562,pop
10021,0.459,pop
10022,0.643,pop
10034,0.663,pop
10043,0.672,pop
10044,0.634,pop
10045,0.673,pop
10047,0.834,pop
10048,0.825,pop
10049,0.45,pop
10050,0.466,pop
10054,0.554,pop
10055,0.675,pop
10058,0.667,pop
10059,0.478,pop
10060,0.369,pop
10074,0.52,pop
10075,0.808,pop
10137,0.721,pop
10138,0.146,pop
10139,0.827,pop
10140,0.647,pop
10141,0.772,pop
10142,0.456,pop
10143,0.738,pop
10144,0.65,pop
10145,0.342,pop
10146,0.842,pop
10147,0.453,pop
10154,0.631,pop
10178,0.716,pop
10433,0.404,pop
10477,0.724,pop
10478,0.478,pop
10479,0.421,pop
10480,0.268,pop
10481,0.55,pop
10482,0.229,pop
10483,0.76,pop
10484,0.847,pop
10492,0.432,pop
10493,0.693,pop
10494,0.0581,pop
10495,0.582,pop
10496,0.879,pop
10497,0.861,pop
10498,0.328,pop
10499,0.587,pop
10500,0.592,pop
10501,0.383,pop
10502,0.205,pop
10503,0.537,pop
10504,0.448,pop
10505,0.85,pop
10506,0.101,pop
10507,0.375,pop
10508,0.306,pop
10509,0.414,pop
10510,0.292,pop
10511,0.311,pop
10512,0.443,pop
10513,0.111,pop
10514,0.394,pop
10515,0.0772,pop
10516,0.183,pop
10523,0.608,pop
10524,0.653,pop
10525,0.373,pop
10526,0.34,pop
10527,0.815,pop
10528,0.841,pop
10529,0.432,pop
10530,0.347,pop
10531,0.529,pop
10532,0.371,pop
10560,0.863,pop
10561,0.427,pop
10562,0.0533,pop
10583,0.423,pop
10584,0.471,pop
10585,0.743,pop
10586,0.592,pop
10587,0.126,pop
10588,0.279,pop
10589,0.572,pop
10590,0.749,pop
10591,0.713,pop
10592,0.756,pop
10593,0.857,pop
10594,0.191,pop
10595,0.407,pop
10596,0.567,pop
10597,0.43,pop
10598,0.563,pop
10599,0.403,pop
10612,0.577,pop
11098,0.747,pop
11099,0.463,pop
11100,0.946,pop
11101,0.718,pop
11103,0.692,pop
11104,0.758,pop
11105,0.731,pop
11106,0.876,pop
11107,0.911,pop
11108,0.854,pop
11109,0.628,pop
11110,0.694,pop
11111,0.711,pop
11112,0.964,pop
11130,0.63,pop
11131,0.731,pop
11132,0.599,pop
11141,0.799,pop
11229,0.783,pop
11230,0.903,pop
11236,0.828,pop
11237,0.813,pop
11238,0.951,pop
11246,0.963,pop
11247,0.595,pop
11248,0.663,pop
11249,0.873,pop
11250,0.877,pop
11251,0.887,pop
11252,0.8,pop
11253,0.896,pop
11254,0.595,pop
11255,0.759,pop
11271,0.789,pop
11272,0.792,pop
11327,0.437,pop
11328,0.581,pop
11329,0.743,pop
11330,0.924,pop
11331,0.89,pop
11332,0.669,pop
11333,0.828,pop
11334,0.925,pop
11335,0.676,pop
11338,0.942,pop
11339,0.832,pop
11340,0.538,pop
11341,0.567,pop
11342,0.676,pop
11343,0.791,pop
11344,0.903,pop
11345,0.89,pop
11346,0.891,pop
11347,0.657,pop
11358,0.794,pop
11359,0.562,pop
11360,0.589,pop
11418,0.891,pop
11438,0.736,pop
11439,0.654,pop
11440,0.65,pop
11441,0.726,pop
11442,0.824,pop
11444,0.844,pop
11445,0.708,pop
11446,0.55,pop
11447,0.909,pop
11644,0.826,pop
11645,0.637,pop
11646,0.649,pop
11647,0.727,pop
11648,0.593,pop
