,loudness,playlist_genre
824,-8.412,pop
825,-8.275,pop
826,-10.358,pop
827,-12.457,pop
828,-13.515,pop
829,-7.066,pop
830,-7.351,pop
831,-6.948,pop
832,-8.344,pop
841,-25.361,pop
842,-2.946,pop
843,-5.773,pop
844,-9.297,pop
845,-7.843,pop
846,-7.399,pop
848,-5.63,pop
849,-7.002,pop
850,-8.328,pop
851,-7.606,pop
852,-7.572,pop
853,-2.856,pop
854,-8.531,pop
855,-6.018,pop
869,-8.652,pop
880,-7.584,pop
881,-7.327,pop
882,-6.375,pop
883,-10.72,pop
884,-8.139,pop
896,-5.674,pop
905,-11.841,pop
906,-10.338,pop
909,-7.506,pop
910,-6.849,pop
911,-17.157,pop
912,-4.56,pop
913,-4.017,pop
916,-6.19,pop
917,-5.617,pop
918,-8.096,pop
919,-4.947,pop
920,-8.227,pop
921,-1.427,pop
922,-7.186,pop
1000,-5.219,pop
1010,-3.604,pop
1019,-8.26,pop
1020,-5.639,pop
1048,-8.199,pop
1049,-6.522,pop
1050,-4.083,pop
1051,-7.786,pop
1059,-4.498,pop
1076,-5.081,pop
1077,-3.964,pop
1093,-6.436,pop
1094,-1.835,pop
1095,-1.7,pop
1107,-4.493,pop
1115,-3.621,pop
1116,-4.34,pop
1117,-6.276,pop
1118,-5.062,pop
1119,-3.919,pop
1120,-5.48,pop
1987,-3.491,pop
1988,-5.362,pop
1989,-2.716,pop
1990,-4.87,pop
1991,-4.185,pop
1999,-7.02,pop
2000,-3.993,pop
2001,-5.452,pop
2002,-5.025,pop
2003,-5.382,pop
2004,-5.108,pop
2005,-3.053,pop
2006,-5.439,pop
2007,-4.7,pop
2029,-3.574,pop
2030,-3.432,pop
2031,-5.614,pop
2033,-5.797,pop
2034,-5.261,pop
2035,-4.388,pop
2036,-10.661,pop
2037,-4.915,pop
2038,-5.974,pop
2039,-3.338,pop
2040,-2.702,pop
2041,-5.968,pop
2046,-9.279,pop
2047,-5.942,pop
2048,-2.94,pop
2049,-4.564,pop
2050,-4.532,pop
2061,-4.547,pop
2062,-5.001,pop
2063,-4.302,pop
2064,-4.612,pop
2065,-6.92,pop
2066,-4.777,pop
2067,-5.96,pop
2068,-7.149,pop
2070,-6.248,pop
2117,-4.768,pop
2118,-5.292,pop
2119,-3.359,pop
2120,-4.552,pop
2121,-5.809,pop
2122,-7.084,pop
2123,-5.725,pop
2124,-5.882,pop
2125,-5.305,pop
2142,-4.763,pop
2143,-4.809,pop
2161,-5.727,pop
2162,-5.357,pop
2182,-5.455,pop
2183,-5.6,pop
2184,-6.205,pop
2185,-6.712,pop
2186,-4.072,pop
2450,-6.905,pop
2451,-6.927,pop
2452,-11.41,pop
2453,-7.275,pop
2454,-10.503,pop
2455,-16.239,pop
2456,-9.193,pop
2457,-7.436,pop
2458,-6.213,pop
2459,-4.899,pop
2460,-6.991,pop
2461,-8.889,pop
2462,-4.08,pop
2463,-7.226,pop
2464,-11.589,pop
2465,-5.643,pop
2466,-7.016,pop
2467,-5.859,pop
2468,-5.089,pop
2469,-9.733,pop
2470,-8.434,pop
2471,-4.869,pop
2485,-6.972,pop
2486,-7.853,pop
2487,-11.615,pop
2488,-7.95,pop
2489,-8.915,pop
2490,-9.767,pop
2491,-6.847,pop
2492,-6.325,pop
2493,-12.111,pop
2511,-6.69,pop
2512,-5.608,pop
2513,-7.652,pop
2514,-5.28,pop
2515,-3.399,pop
2516,-7.744,pop
2517,-5.601,pop
2518,-10.136,pop
2519,-6.327,pop
2520,-4.304,pop
2521,-5.877,pop
2522,-5.013,pop
2523,-6.458,pop
2525,-3.793,pop
2526,-4.887,pop
2642,-5.045,pop
2643,-7.003,pop
2644,-6.725,pop
2645,-4.867,pop
2646,-6.09,pop
2647,-10.699,pop
2648,-7.211,pop
2649,-6.555,pop
2650,-5.796,pop
2651,-5.752,pop
2652,-7.98,pop
2653,-5.07,pop
2654,-7.336,pop
2693,-7.498,pop
2701,-6.34,pop
2702,-6.742,pop
2703,-5.824,pop
2704,-15.006,pop
2705,-7.307,pop
2706,-9.153,pop
2707,-6.234,pop
2708,-5.125,pop
2709,-9.637,pop
2710,-10.399,pop
2711,-10.419,pop
2712,-8.905,pop
2713,-4.854,pop
2714,-7.286,pop
2715,-8.453,pop
2795,-7.224,pop
2796,-4.908,pop
2797,-3.505,pop
2798,-3.765,pop
2799,-5.453,pop
2800,-2.703,pop
2801,-6.052,pop
2802,-5.197,pop
2803,-4.17,pop
2804,-4.978,pop
2805,-6.334,pop
2806,-6.72,pop
2807,-7.014,pop
2808,-12.265,pop
2809,-5.648,pop
2810,-6.073,pop
2830,-3.499,pop
2831,-5.664,pop
2832,-7.548,pop
2835,-5.771,pop
2836,-1.55,pop
2837,-3.145,pop
2848,-2.063,pop
2849,-2.559,pop
2850,-8.119,pop
2851,-10.183,pop
2852,-3.645,pop
2853,-2.169,pop
2854,-5.446,pop
2874,-4.574,pop
2875,-3.011,pop
2893,-6.731,pop
2894,-3.408,pop
2895,-3.256,pop
2896,-5.808,pop
2897,-5.614,pop
2898,-4.068,pop
2899,-3.469,pop
2900,-3.673,pop
2901,-2.892,pop
2902,-3.729,pop
2903,-3.913,pop
2904,-4.567,pop
2905,-4.676,pop
2906,-3.68,pop
2907,-3.676,pop
2908,-4.002,pop
2909,-4.0,pop
2966,-6.181,pop
2968,-7.118,pop
2969,-6.995,pop
2970,-2.673,pop
2971,-8.53,pop
2972,-8.033,pop
2973,-6.857,pop
2974,-8.415,pop
2975,-6.651,pop
2976,-10.049,pop
2977,-7.869,pop
2978,-6.743,pop
2979,-7.661,pop
2980,-6.967,pop
2981,-9.871,pop
2982,-11.467,pop
2983,-5.733,pop
2984,-9.514,pop
3004,-5.123,pop
3005,-6.337,pop
3006,-8.302,pop
3007,-7.609,pop
3008,-6.204,pop
3009,-8.213,pop
3010,-8.985,pop
3011,-7.114,pop
3012,-8.073,pop
3013,-4.081,pop
3014,-5.412,pop
3029,-5.68,pop
3030,-2.245,pop
3031,-4.239,pop
3032,-4.985,pop
3033,-7.66,pop
3034,-3.364,pop
3035,-4.202,pop
3036,-7.14,pop
3037,-5.545,pop
3046,-6.348,pop
3047,-7.115,pop
3048,-4.942,pop
3049,-8.738,pop
3053,-3.273,pop
3055,-4.881,pop
3073,-3.785,pop
3074,-7.647,pop
3107,-5.081,pop
3118,-5.851,pop
3119,-4.372,pop
3121,-5.219,pop
3122,-5.153,pop
3139,-8.026,pop
3143,-11.431,pop
3144,-6.16,pop
3404,-6.735,pop
3416,-3.782,pop
3417,-6.175,pop
3418,-5.76,pop
3419,-4.881,pop
3420,-4.065,pop
3421,-4.559,pop
3422,-7.803,pop
3423,-3.755,pop
3427,-3.374,pop
3430,-4.586,pop
3612,-5.929,pop
3613,-6.903,pop
3616,-2.745,pop
3617,-5.001,pop
3618,-5.125,pop
3619,-5.715,pop
3620,-9.071,pop
3621,-6.341,pop
3622,-4.966,pop
3623,-5.566,pop
3624,-4.635,pop
3625,-6.139,pop
3626,-2.927,pop
3627,-3.625,pop
3628,-0.7,pop
3630,-2.746,pop
3631,-4.176,pop
3632,-5.486,pop
3633,-5.411,pop
3634,-6.046,pop
3635,-6.451,pop
3636,-7.974,pop
3637,-4.677,pop
3638,-4.603,pop
3653,-5.683,pop
3680,-6.323,pop
3681,-5.824,pop
3683,-7.876,pop
3689,-7.384,pop
3690,-5.072,pop
3691,-5.429,pop
3695,-7.454,pop
3696,-2.026,pop
3697,-5.788,pop
3698,-2.259,pop
3699,-5.531,pop
3700,-6.197,pop
3701,-7.103,pop
3702,-9.845,pop
3717,-3.828,pop
3718,-7.563,pop
3722,-9.411,pop
3723,-6.965,pop
3724,-10.307,pop
3725,-7.176,pop
3726,-6.951,pop
3727,-10.995,pop
3728,-3.799,pop
3755,-7.575,pop
3756,-7.18,pop
3757,-4.503,pop
3758,-4.939,pop
3759,-2.965,pop
3760,-4.499,pop
3761,-4.302,pop
3762,-5.43,pop
3800,-4.243,pop
3827,-3.137,pop
3828,-6.646,pop
3829,-5.781,pop
3830,-3.981,pop
3831,-2.279,pop
3832,-5.825,pop
3833,-3.768,pop
3834,-7.162,pop
3835,-4.538,pop
3836,-7.177,pop
3837,-2.907,pop
3838,-3.15,pop
3839,-2.068,pop
3840,-4.178,pop
3841,-1.843,pop
3843,-3.408,pop
3844,-4.705,pop
3845,-12.914,pop
3849,-4.238,pop
3850,-2.788,pop
3857,-5.507,pop
3859,-4.188,pop
3860,-4.008,pop
3862,-6.833,pop
3874,-4.225,pop
3875,-2.959,pop
3876,-4.524,pop
3877,-3.584,pop
3880,-4.487,pop
3881,-9.882,pop
3882,-4.45,pop
3883,-4.736,pop
3884,-4.814,pop
3885,-7.25,pop
3933,-5.441,pop
3934,-5.834,pop
3935,-7.084,pop
3936,-7.231,pop
3937,-8.142,pop
3938,-4.237,pop
3939,-8.29,pop
3940,-6.217,pop
3941,-10.212,pop
3945,-3.499,pop
3946,-4.741,pop
3947,-3.104,pop
3948,-5.137,pop
3949,-6.042,pop
3950,-7.655,pop
3951,-6.352,pop
3952,-6.412,pop
3964,-3.725,pop
3965,-3.922,pop
4077,-2.687,pop
4080,-3.114,pop
4081,-5.559,pop
4082,-1.993,pop
4083,-4.249,pop
4084,-4.581,pop
4085,-2.373,pop
4086,-3.612,pop
4087,-1.918,pop
4088,-3.302,pop
4090,-2.901,pop
4091,-3.315,pop
4092,-2.898,pop
4093,-2.977,pop
4094,-4.035,pop
4095,-5.558,pop
4096,-3.314,pop
4097,-6.7,pop
4098,-3.104,pop
4099,-2.129,pop
4100,-5.277,pop
4101,-3.211,pop
4102,-4.618,pop
4103,-3.628,pop
4104,-5.532,pop
4105,-3.903,pop
4106,-4.429,pop
4107,-2.611,pop
4108,-1.712,pop
4109,-3.911,pop
4110,-3.955,pop
4111,-3.684,pop
4112,-2.877,pop
4113,-2.32,pop
4114,-3.512,pop
4115,-5.051,pop
4116,-3.404,pop
4117,-4.025,pop
4118,-3.471,pop
4119,-4.23,pop
4120,-4.576,pop
4121,-4.399,pop
4122,-6.195,pop
4123,-5.267,pop
4124,-2.699,pop
4125,-4.994,pop
4126,-4.818,pop
4127,-5.867,pop
4135,-4.761,pop
4136,-4.534,pop
4137,-4.049,pop
4138,-3.116,pop
4139,-2.335,pop
4140,-4.725,pop
4141,-4.615,pop
4142,-6.737,pop
4143,-2.775,pop
4144,-4.452,pop
4145,-6.184,pop
4146,-3.246,pop
4148,-3.292,pop
4157,-6.165,pop
4180,-5.29,pop
4181,-8.295,pop
4182,-6.891,pop
4186,-3.473,pop
4187,-4.809,pop
4188,-6.36,pop
4189,-4.726,pop
4196,-6.677,pop
4197,-4.606,pop
4198,-7.069,pop
4199,-6.428,pop
4200,-4.342,pop
4201,-4.034,pop
4202,-5.995,pop
4203,-4.744,pop
4204,-5.272,pop
4205,-6.997,pop
4206,-3.539,pop
4207,-4.3,pop
4208,-7.712,pop
4209,-5.356,pop
4215,-7.956,pop
4216,-6.31,pop
4219,-6.597,pop
4221,-4.164,pop
4222,-4.277,pop
4223,-11.104,pop
4238,-9.764,pop
4244,-4.941,pop
4245,-7.54,pop
4246,-6.397,pop
4247,-6.64,pop
4248,-4.918,pop
4249,-4.412,pop
4250,-8.921,pop
4251,-5.123,pop
4254,-5.672,pop
4255,-7.812,pop
4256,-7.177,pop
4257,-10.847,pop
4258,-5.067,pop
4259,-13.721,pop
4260,-7.953,pop
4261,-4.898,pop
4262,-6.723,pop
4263,-4.288,pop
4264,-6.419,pop
4265,-5.074,pop
4266,-6.684,pop
4267,-5.279,pop
4268,-4.141,pop
4269,-5.461,pop
4270,-8.075,pop
4271,-8.808,pop
4272,-1.949,pop
4282,-5.707,pop
4283,-6.564,pop
4284,-5.08,pop
4285,-5.632,pop
4286,-7.15,pop
4287,-6.498,pop
4288,-4.65,pop
4289,-4.697,pop
4290,-5.437,pop
4291,-10.636,pop
4292,-4.399,pop
4293,-4.881,pop
4294,-4.983,pop
4295,-2.415,pop
4296,-3.117,pop
4297,-6.245,pop
4298,-4.128,pop
4299,-3.753,pop
4300,-11.024,pop
4301,-4.157,pop
4302,-3.839,pop
4303,-5.562,pop
4304,-12.649,pop
4305,-4.204,pop
4306,-5.146,pop
4307,-5.539,pop
4308,-3.978,pop
4309,-4.734,pop
4310,-3.641,pop
4461,-3.017,pop
4462,-5.975,pop
4463,-5.119,pop
4464,-5.538,pop
4465,-5.644,pop
4466,-4.442,pop
4467,-5.126,pop
4468,-4.956,pop
4469,-3.013,pop
4470,-6.267,pop
4471,-5.766,pop
4472,-3.424,pop
4473,-4.595,pop
4474,-4.389,pop
4475,-2.748,pop
4476,-4.906,pop
4477,-7.553,pop
4478,-6.678,pop
4479,-7.551,pop
4480,-3.033,pop
4481,-2.884,pop
4482,-5.563,pop
4483,-5.747,pop
4564,-7.727,pop
4565,-6.85,pop
4566,-5.642,pop
4570,-4.271,pop
4571,-5.194,pop
4572,-5.413,pop
4573,-5.303,pop
4574,-5.036,pop
4575,-5.296,pop
4577,-6.869,pop
4578,-3.329,pop
4579,-6.825,pop
4580,-5.507,pop
4584,-5.445,pop
4585,-5.639,pop
4586,-5.484,pop
4587,-5.194,pop
4588,-2.907,pop
4628,-4.667,pop
4642,-5.436,pop
4643,-2.986,pop
4997,-5.63,pop
4998,-5.383,pop
4999,-1.915,pop
5000,-4.458,pop
5001,-3.447,pop
5002,-7.565,pop
5003,-6.19,pop
5004,-7.388,pop
5005,-5.287,pop
5006,-5.176,pop
5007,-7.835,pop
5008,-5.915,pop
5009,-6.933,pop
5010,-4.052,pop
5011,-5.406,pop
5028,-6.095,pop
5029,-5.764,pop
5052,-5.06,pop
5053,-4.675,pop
5054,-3.759,pop
5055,-3.318,pop
5056,-5.972,pop
5057,-5.029,pop
5058,-4.121,pop
5059,-6.487,pop
5060,-7.51,pop
5061,-4.203,pop
5062,-4.754,pop
5063,-4.322,pop
5064,-4.451,pop
5065,-4.477,pop
5066,-3.983,pop
5071,-2.929,pop
5073,-6.5,pop
5074,-4.564,pop
5075,-4.788,pop
5076,-4.672,pop
5077,-3.778,pop
5118,-4.142,pop
5159,-9.827,pop
5171,-4.364,pop
5172,-2.996,pop
5173,-3.503,pop
5174,-3.66,pop
5175,-4.104,pop
5176,-7.626,pop
5177,-2.921,pop
5178,-4.046,pop
5179,-2.878,pop
5180,-4.969,pop
5181,-4.329,pop
5182,-5.466,pop
5183,-4.154,pop
5184,-5.8,pop
5185,-6.918,pop
5186,-2.325,pop
5187,-3.613,pop
5188,-5.877,pop
5189,-5.283,pop
5190,-4.358,pop
5191,-4.744,pop
5192,-4.952,pop
5206,-7.037,pop
5208,-5.48,pop
5209,-5.547,pop
5210,-3.781,pop
5212,-3.785,pop
5218,-7.326,pop
5219,-6.07,pop
5220,-4.738,pop
5221,-4.17,pop
5222,-7.063,pop
5228,-6.029,pop
5229,-5.245,pop
5230,-8.736,pop
5231,-7.117,pop
5233,-6.56,pop
5234,-4.535,pop
5235,-4.708,pop
5236,-4.759,pop
5619,-7.937,pop
5620,-4.472,pop
5621,-3.884,pop
5622,-6.823,pop
5628,-6.069,pop
5629,-3.192,pop
5630,-4.028,pop
5631,-5.817,pop
5632,-6.757,pop
5633,-6.669,pop
5634,-3.339,pop
5635,-7.176,pop
5636,-8.296,pop
5637,-5.674,pop
5638,-6.546,pop
5639,-6.831,pop
5640,-5.76,pop
5641,-5.579,pop
5642,-12.215,pop
5643,-6.278,pop
5644,-5.598,pop
5645,-5.35,pop
5646,-7.339,pop
5647,-4.963,pop
5648,-4.804,pop
5649,-8.245,pop
5650,-9.505,pop
5651,-4.903,pop
5652,-4.476,pop
5653,-6.256,pop
5654,-5.321,pop
5655,-6.329,pop
5656,-6.296,pop
5657,-7.887,pop
5658,-5.094,pop
5659,-6.228,pop
5660,-4.42,pop
5661,-5.146,pop
5662,-7.042,pop
5780,-4.139,pop
5781,-6.211,pop
5782,-8.351,pop
5783,-6.109,pop
5784,-4.698,pop
5785,-5.652,pop
5786,-6.221,pop
5787,-5.927,pop
5788,-6.181,pop
5789,-5.953,pop
5790,-3.86,pop
5791,-6.859,pop
5792,-6.606,pop
5793,-5.264,pop
5794,-6.914,pop
5795,-4.548,pop
5796,-6.818,pop
5811,-4.293,pop
5812,-8.74,pop
5813,-4.545,pop
5871,-6.035,pop
5872,-5.85,pop
5900,-8.398,pop
5901,-7.482,pop
5920,-13.928,pop
5921,-3.202,pop
5922,-6.229,pop
5923,-4.527,pop
5924,-4.118,pop
5925,-11.848,pop
5926,-8.966,pop
5927,-7.828,pop
5928,-5.311,pop
5942,-4.336,pop
5943,-4.057,pop
5944,-3.393,pop
5960,-4.278,pop
5961,-9.439,pop
5962,-7.67,pop
5963,-7.24,pop
5964,-7.619,pop
5965,-6.723,pop
5966,-7.08,pop
5967,-7.493,pop
5968,-5.045,pop
5981,-7.809,pop
5982,-6.437,pop
5983,-11.466,pop
5984,-5.844,pop
5985,-5.213,pop
5986,-10.304,pop
5987,-13.509,pop
5988,-7.322,pop
6001,-9.45,pop
6002,-7.362,pop
6003,-6.603,pop
6004,-16.142,pop
6005,-6.71,pop
6018,-6.996,pop
6019,-6.669,pop
6020,-7.053,pop
6021,-8.222,pop
6022,-8.171,pop
6023,-4.995,pop
6024,-6.418,pop
6025,-10.302,pop
6026,-7.514,pop
6027,-11.527,pop
6028,-8.023,pop
6029,-13.326,pop
6030,-6.454,pop
6031,-4.848,pop
6032,-3.552,pop
6033,-7.708,pop
6034,-9.776,pop
6035,-10.023,pop
6036,-4.515,pop
6037,-4.36,pop
6038,-4.992,pop
6047,-3.36,pop
6048,-6.505,pop
6054,-7.644,pop
6055,-7.69,pop
6056,-4.292,pop
6057,-11.343,pop
6058,-12.23,pop
6059,-6.517,pop
6060,-3.451,pop
6061,-2.345,pop
6062,-7.54,pop
6063,-8.448,pop
6064,-7.058,pop
6065,-4.405,pop
6066,-6.266,pop
6067,-6.598,pop
6068,-5.718,pop
6069,-8.097,pop
6070,-6.318,pop
6071,-6.292,pop
6072,-7.054,pop
6076,-3.771,pop
6083,-4.078,pop
6084,-6.689,pop
6085,-10.991,pop
6092,-7.764,pop
6106,-5.079,pop
6108,-3.51,pop
6109,-1.427,pop
6115,-4.671,pop
6116,-4.665,pop
6125,-4.943,pop
6126,-4.752,pop
6132,-1.363,pop
6133,-7.071,pop
6134,-11.377,pop
6152,-6.838,pop
6153,-4.388,pop
6154,-4.247,pop
6155,-4.744,pop
6156,-7.447,pop
6157,-7.775,pop
6158,-6.084,pop
6159,-6.48,pop
6160,-7.516,pop
6161,-4.548,pop
6162,-6.629,pop
6163,-4.852,pop
6164,-3.904,pop
6165,-4.891,pop
6166,-6.763,pop
6169,-4.724,pop
6170,-5.353,pop
6171,-8.318,pop
6213,-5.451,pop
6249,-7.494,pop
6250,-6.817,pop
6273,-3.452,pop
6274,-5.859,pop
6275,-5.694,pop
6276,-7.756,pop
6277,-3.105,pop
6278,-6.846,pop
6279,-6.354,pop
6394,-6.374,pop
6395,-4.969,pop
6396,-5.607,pop
6397,-5.378,pop
6398,-6.273,pop
6407,-8.304,pop
6426,-7.834,pop
6507,-4.287,pop
6508,-6.299,pop
6562,-5.976,pop
6563,-4.096,pop
6564,-4.05,pop
6565,-4.838,pop
6580,-6.316,pop
6596,-1.431,pop
6597,-5.624,pop
6598,-6.333,pop
6599,-8.144,pop
6600,-4.763,pop
6601,-9.996,pop
6649,-3.849,pop
6650,-5.006,pop
6651,-8.92,pop
6652,-8.21,pop
6653,-4.775,pop
6654,-5.956,pop
6655,-8.822,pop
6656,-5.671,pop
6657,-6.137,pop
6821,-5.65,pop
6822,-5.29,pop
6823,-7.948,pop
6824,-4.804,pop
6833,-5.211,pop
6834,-5.38,pop
6836,-4.043,pop
6843,-2.893,pop
6844,-2.06,pop
6845,-4.991,pop
6846,-3.078,pop
6847,-4.091,pop
6848,-4.856,pop
6849,-3.15,pop
6850,-4.838,pop
6878,-4.825,pop
6879,-4.469,pop
6881,-6.225,pop
6911,-2.564,pop
6927,-3.949,pop
6928,-3.456,pop
6929,-4.64,pop
6936,-3.539,pop
6937,-4.081,pop
6938,-5.744,pop
6981,-3.796,pop
6982,-5.797,pop
6983,-10.744,pop
6984,-3.078,pop
6985,-5.249,pop
6991,-3.046,pop
6996,-7.099,pop
7003,-4.757,pop
7004,-4.143,pop
7005,-4.67,pop
7316,-3.089,pop
7317,-1.869,pop
7318,-7.223,pop
7319,-8.54,pop
7320,-6.832,pop
7338,-6.403,pop
7339,-6.959,pop
7340,-9.499,pop
7341,-9.165,pop
7351,-3.602,pop
7352,-7.717,pop
7353,-9.919,pop
7363,-6.201,pop
7364,-10.566,pop
7365,-7.328,pop
7366,-14.808,pop
7367,-5.793,pop
7369,-4.836,pop
7370,-14.061,pop
7371,-6.807,pop
7372,-5.745,pop
7373,-8.779,pop
7376,-9.934,pop
7377,-5.451,pop
7378,-12.543,pop
7379,-6.907,pop
7380,-4.596,pop
7381,-4.864,pop
7382,-10.985,pop
7383,-13.297,pop
7384,-6.223,pop
7385,-9.341,pop
7386,-7.607,pop
7387,-4.923,pop
7388,-7.167,pop
7389,-4.521,pop
7390,-9.329,pop
7391,-7.831,pop
7392,-7.344,pop
7393,-11.828,pop
7395,-9.963,pop
7396,-4.954,pop
7401,-5.092,pop
7404,-4.461,pop
7408,-5.794,pop
7409,-9.501,pop
7410,-9.516,pop
7411,-8.147,pop
7412,-11.936,pop
7413,-4.995,pop
7414,-3.062,pop
7415,-3.882,pop
7419,-14.687,pop
7420,-3.475,pop
7421,-9.967,pop
7422,-5.345,pop
7424,-7.341,pop
7425,-11.675,pop
7428,-3.593,pop
7429,-5.117,pop
7430,-5.211,pop
7431,-9.811,pop
7432,-7.455,pop
7433,-6.427,pop
7436,-5.981,pop
7437,-9.985,pop
7438,-8.848,pop
7439,-5.488,pop
7440,-3.599,pop
7441,-3.238,pop
7442,-6.973,pop
7443,-10.359,pop
7444,-5.291,pop
7445,-10.379,pop
7446,-8.154,pop
7447,-6.413,pop
7448,-7.043,pop
7449,-8.271,pop
7450,-7.305,pop
7451,-4.699,pop
7452,-8.222,pop
7457,-9.169,pop
7458,-8.121,pop
7461,-3.726,pop
7462,-5.963,pop
7463,-4.237,pop
7464,-4.785,pop
7465,-4.323,pop
7466,-4.818,pop
7467,-3.678,pop
7468,-5.936,pop
7469,-9.596,pop
9009,-4.05,pop
9010,-3.014,pop
9011,-2.959,pop
9012,-2.867,pop
9013,-3.568,pop
9014,-5.386,pop
9015,-5.581,pop
9016,-9.807,pop
9017,-6.035,pop
9018,-8.635,pop
9026,-4.802,pop
9027,-3.87,pop
9028,-6.063,pop
9029,-6.83,pop
9030,-8.022,pop
9211,-2.681,pop
9212,-7.28,pop
9244,-8.898,pop
9245,-8.428,pop
9246,-14.323,pop
9259,-4.45,pop
9260,-7.972,pop
9261,-8.601,pop
9281,-6.842,pop
9282,-8.109,pop
9359,-7.453,pop
9360,-7.634,pop
9361,-4.588,pop
9374,-6.987,pop
9382,-8.69,pop
9384,-8.006,pop
9385,-6.515,pop
9386,-7.249,pop
9387,-5.659,pop
9388,-8.621,pop
9389,-5.21,pop
9390,-5.629,pop
9391,-4.76,pop
9392,-5.761,pop
9393,-5.257,pop
9394,-4.26,pop
9395,-2.388,pop
9396,-7.688,pop
9397,-6.537,pop
9398,-3.883,pop
9399,-4.2,pop
9400,-4.739,pop
9410,-4.364,pop
9411,-5.911,pop
9412,-9.919,pop
9413,-6.735,pop
9414,-6.273,pop
9415,-7.249,pop
9417,-1.865,pop
9848,-6.229,pop
9849,-8.397,pop
9937,-6.232,pop
9951,-7.614,pop
9952,-7.414,pop
9953,-6.962,pop
9954,-7.227,pop
9955,-6.112,pop
9956,-2.953,pop
9957,-7.926,pop
9958,-11.114,pop
9959,-8.776,pop
9965,-6.626,pop
9966,-7.878,pop
9967,-7.579,pop
9968,-9.471,pop
9969,-4.733,pop
9970,-8.238,pop
9971,-9.294,pop
9972,-8.854,pop
9973,-5.61,pop
9974,-3.791,pop
9975,-3.681,pop
9976,-5.34,pop
9977,-5.572,pop
9978,-5.356,pop
9979,-5.249,pop
9980,-8.418,pop
9981,-5.519,pop
9982,-8.448,pop
9983,-8.727,pop
9984,-8.917,pop
9985,-8.717,pop
9986,-5.873,pop
9987,-9.883,pop
9988,-6.529,pop
9989,-5.265,pop
9995,-5.324,pop
9996,-8.175,pop
9997,-9.811,pop
9998,-8.494,pop
9999,-8.159,pop
10021,-6.558,pop
10022,-6.415,pop
10034,-5.697,pop
10043,-7.428,pop
10044,-7.03,pop
10045,-6.733,pop
10047,-5.895,pop
10048,-2.673,pop
10049,-8.543,pop
10050,-7.916,pop
10054,-6.789,pop
10055,-6.717,pop
10058,-6.62,pop
10059,-6.659,pop
10060,-6.888,pop
10074,-8.321,pop
10075,-4.44,pop
10137,-5.563,pop
10138,-14.439,pop
10139,-4.822,pop
10140,-9.842,pop
10141,-5.054,pop
10142,-8.519,pop
10143,-2.164,pop
10144,-5.286,pop
10145,-11.743,pop
10146,-3.034,pop
10147,-10.525,pop
10154,-8.898,pop
10178,-4.368,pop
10433,-8.898,pop
10477,-4.379,pop
10478,-5.927,pop
10479,-13.254,pop
10480,-13.59,pop
10481,-8.622,pop
10482,-12.592,pop
10483,-7.199,pop
10484,-6.52,pop
