,tempo,playlist_genre
2029,121.082,pop
2030,127.949,pop
2031,104.988,pop
2033,123.133,pop
2034,104.965,pop
2035,119.988,pop
2036,109.988,pop
2037,113.025,pop
2038,105.948,pop
2039,112.006,pop
2040,119.996,pop
2041,97.033,pop
2046,122.006,pop
2047,110.981,pop
2048,115.012,pop
2049,124.998,pop
2050,105.021,pop
2061,122.688,pop
2062,103.16,pop
2063,114.989,pop
2064,119.964,pop
2065,115.946,pop
2066,119.972,pop
2067,124.971,pop
2068,122.993,pop
2070,124.993,pop
2117,120.001,pop
2118,109.952,pop
2119,100.032,pop
2120,125.997,pop
2121,112.964,pop
2122,122.031,pop
2123,104.954,pop
2124,115.004,pop
2125,101.965,pop
2142,121.991,pop
2143,104.048,pop
2161,114.054,pop
2162,115.268,pop
2182,103.962,pop
2183,103.933,pop
2184,129.975,pop
2185,123.997,pop
2186,99.869,pop
2450,79.508,pop
2451,122.967,pop
2452,147.052,pop
2453,110.011,pop
2454,127.522,pop
2455,75.041,pop
2456,133.973,pop
2457,140.024,pop
2458,167.994,pop
2459,127.011,pop
2460,125.038,pop
2461,169.992,pop
2462,193.964,pop
2463,113.977,pop
2464,83.573,pop
2465,80.012,pop
2466,167.977,pop
2467,120.025,pop
2468,93.987,pop
2469,122.002,pop
2470,104.014,pop
2471,164.012,pop
2485,122.977,pop
2486,127.003,pop
2487,139.238,pop
2488,144.035,pop
2489,138.027,pop
2490,94.025,pop
2491,120.003,pop
2492,93.003,pop
2493,147.179,pop
2511,105.009,pop
2512,118.009,pop
2513,180.05,pop
2514,112.016,pop
2515,134.981,pop
2516,127.013,pop
2517,128.99,pop
2518,86.591,pop
2519,101.989,pop
2520,127.008,pop
2521,109.017,pop
2522,113.008,pop
2523,116.985,pop
2525,102.993,pop
2526,101.0,pop
2642,115.007,pop
2643,95.986,pop
2644,120.038,pop
2645,112.492,pop
2646,102.043,pop
2647,80.984,pop
2648,162.063,pop
2649,119.98,pop
2650,125.994,pop
2651,105.023,pop
2652,116.016,pop
2653,120.477,pop
2654,115.964,pop
2693,92.513,pop
2701,108.941,pop
2702,103.066,pop
2703,125.998,pop
2704,126.967,pop
2705,112.966,pop
2706,105.016,pop
2707,123.069,pop
2708,94.785,pop
2709,124.996,pop
2710,114.957,pop
2711,88.874,pop
2712,123.989,pop
2713,150.109,pop
2714,120.0,pop
2715,89.875,pop
2795,146.448,pop
2796,128.011,pop
2797,128.032,pop
2798,94.988,pop
2799,144.642,pop
2800,127.976,pop
2801,99.002,pop
2802,127.967,pop
2803,122.999,pop
2804,124.995,pop
2805,121.021,pop
2806,115.026,pop
2807,121.0,pop
2808,123.888,pop
2809,123.042,pop
2810,112.893,pop
2830,177.98,pop
2831,77.5,pop
2832,119.987,pop
2835,99.015,pop
2836,128.993,pop
2837,142.984,pop
2848,126.015,pop
2849,89.992,pop
2850,122.902,pop
2851,111.902,pop
2852,124.031,pop
2853,152.089,pop
2854,99.033,pop
2874,124.024,pop
2875,110.018,pop
2893,121.868,pop
2894,118.408,pop
2895,168.98,pop
2896,122.996,pop
2897,122.975,pop
2898,130.034,pop
2899,109.971,pop
2900,152.946,pop
2901,96.044,pop
2902,104.97,pop
2903,87.461,pop
2904,126.986,pop
2905,153.956,pop
2906,150.014,pop
2907,130.156,pop
2908,141.986,pop
2909,122.014,pop
2966,100.001,pop
2968,111.998,pop
2969,111.034,pop
2970,100.022,pop
2971,105.02,pop
2972,149.946,pop
2973,119.976,pop
2974,120.044,pop
2975,79.991,pop
2976,120.147,pop
2977,99.986,pop
2978,108.004,pop
2979,104.853,pop
2980,168.272,pop
2981,110.017,pop
2982,184.112,pop
2983,121.006,pop
2984,125.999,pop
3004,126.037,pop
3005,94.035,pop
3006,75.07,pop
3007,159.338,pop
3008,145.004,pop
3009,117.501,pop
3010,114.763,pop
3011,147.02,pop
3012,91.025,pop
3013,102.979,pop
3014,130.067,pop
3029,119.865,pop
3030,104.983,pop
3031,110.026,pop
3032,119.997,pop
3033,126.007,pop
3034,115.066,pop
3035,125.978,pop
3036,115.987,pop
3037,121.995,pop
3046,118.116,pop
3047,122.019,pop
3048,110.051,pop
3049,120.024,pop
3053,130.052,pop
3055,123.008,pop
3073,124.967,pop
3074,120.012,pop
3107,115.349,pop
3118,90.06,pop
3119,126.112,pop
3121,130.069,pop
3122,127.013,pop
3139,122.014,pop
3143,151.631,pop
3144,121.995,pop
3404,100.027,pop
3416,107.991,pop
3417,172.247,pop
3418,132.01,pop
3419,125.991,pop
3420,99.059,pop
3421,100.002,pop
3422,125.01,pop
3423,118.05,pop
3427,99.943,pop
3430,89.998,pop
3612,125.98,pop
3613,109.996,pop
3616,171.884,pop
3617,127.967,pop
3618,187.981,pop
3619,117.98,pop
3620,111.989,pop
3621,125.007,pop
3622,124.01,pop
3623,111.083,pop
3624,99.964,pop
3625,100.019,pop
3626,155.912,pop
3627,101.034,pop
3628,124.988,pop
3630,89.952,pop
3631,143.994,pop
3632,96.009,pop
3633,200.012,pop
3634,82.49,pop
3635,109.973,pop
3636,94.969,pop
3637,107.992,pop
3638,128.006,pop
3653,105.026,pop
3680,140.026,pop
3681,114.958,pop
3683,104.996,pop
3689,102.987,pop
3690,150.036,pop
3691,173.082,pop
3695,92.985,pop
3696,93.021,pop
3697,124.885,pop
3698,137.9,pop
3699,102.0,pop
3700,127.41,pop
3701,95.007,pop
3702,110.024,pop
3717,102.002,pop
3718,92.023,pop
3722,93.343,pop
3723,89.983,pop
3724,179.821,pop
3725,205.272,pop
3726,142.465,pop
3727,119.592,pop
3728,133.994,pop
3755,123.972,pop
3756,105.014,pop
3757,109.958,pop
3758,112.986,pop
3759,127.075,pop
3760,144.983,pop
3761,128.997,pop
3762,127.952,pop
3800,160.019,pop
3827,169.999,pop
3828,176.075,pop
3829,96.035,pop
3830,172.16,pop
3831,90.025,pop
3832,117.676,pop
3833,92.014,pop
3834,80.061,pop
3835,150.031,pop
3836,93.94,pop
3837,130.009,pop
3838,180.039,pop
3839,93.994,pop
3840,80.51,pop
3841,94.987,pop
3843,97.938,pop
3844,178.005,pop
3845,149.029,pop
3849,106.014,pop
3850,97.035,pop
3857,144.036,pop
3859,91.881,pop
3860,124.987,pop
3862,74.963,pop
3874,130.021,pop
3875,100.049,pop
3876,164.02,pop
3877,108.0,pop
3880,164.032,pop
3881,121.03,pop
3882,110.006,pop
3883,91.993,pop
3884,126.03,pop
3885,86.034,pop
3933,153.988,pop
3934,106.031,pop
3935,156.941,pop
3936,131.76,pop
3937,100.034,pop
3938,160.025,pop
3939,104.984,pop
3940,168.724,pop
3941,119.9,pop
3945,104.914,pop
3946,158.014,pop
3947,108.042,pop
3948,128.187,pop
3949,150.062,pop
3950,86.936,pop
3951,108.952,pop
3952,150.035,pop
3964,119.997,pop
3965,139.931,pop
4077,125.034,pop
4080,96.929,pop
4081,139.927,pop
4082,130.018,pop
4083,126.018,pop
4084,138.032,pop
4085,89.994,pop
4086,114.953,pop
4087,97.967,pop
4088,124.148,pop
4090,99.972,pop
4091,104.971,pop
4092,132.04,pop
4093,137.982,pop
4094,129.819,pop
4095,102.987,pop
4096,97.898,pop
4097,99.026,pop
4098,126.063,pop
4099,110.05,pop
4100,127.986,pop
4101,126.035,pop
4102,159.998,pop
4103,140.03,pop
4104,104.943,pop
4105,128.051,pop
4106,120.055,pop
4107,106.972,pop
4108,127.069,pop
4109,121.991,pop
4110,130.047,pop
4111,116.028,pop
4112,114.285,pop
4113,127.051,pop
4114,146.943,pop
4115,128.01,pop
4116,120.012,pop
4117,132.985,pop
4118,140.012,pop
4119,110.127,pop
4120,104.817,pop
4121,90.011,pop
4122,193.714,pop
4123,102.027,pop
4124,119.971,pop
4125,103.036,pop
4126,110.016,pop
4127,114.998,pop
4135,108.854,pop
4136,124.02,pop
4137,130.02,pop
4138,120.037,pop
4139,126.083,pop
4140,107.935,pop
4141,126.984,pop
4142,84.977,pop
4143,118.006,pop
4144,103.014,pop
4145,95.134,pop
4146,105.06,pop
4148,119.987,pop
4157,100.01,pop
4180,169.999,pop
4181,103.777,pop
4182,75.029,pop
4186,106.011,pop
4187,105.01,pop
4188,125.064,pop
4189,123.054,pop
4196,80.022,pop
4197,114.045,pop
4198,110.909,pop
4199,119.91,pop
4200,170.036,pop
4201,102.002,pop
4202,105.005,pop
4203,102.0,pop
4204,142.002,pop
4205,102.022,pop
4206,110.003,pop
4207,90.008,pop
4208,102.98,pop
4209,123.002,pop
4215,147.971,pop
4216,117.023,pop
4219,122.08,pop
4221,127.957,pop
4222,114.974,pop
4223,110.052,pop
4238,99.982,pop
4244,93.01,pop
4245,101.031,pop
4246,154.859,pop
4247,179.793,pop
4248,75.016,pop
4249,108.871,pop
4250,154.815,pop
4251,92.002,pop
4254,138.113,pop
4255,128.942,pop
4256,141.983,pop
4257,90.946,pop
4258,104.027,pop
4259,109.994,pop
4260,99.927,pop
4261,124.013,pop
4262,92.047,pop
4263,120.057,pop
4264,150.901,pop
4265,163.949,pop
4266,92.027,pop
4267,75.014,pop
4268,94.981,pop
4269,112.057,pop
4270,123.801,pop
4271,119.764,pop
4272,129.979,pop
4282,99.046,pop
4283,100.347,pop
4284,128.96,pop
4285,134.066,pop
4286,75.943,pop
4287,127.973,pop
4288,105.977,pop
4289,103.026,pop
4290,119.995,pop
4291,93.001,pop
4292,121.958,pop
4293,117.993,pop
4294,126.007,pop
4295,122.813,pop
4296,109.991,pop
4297,124.206,pop
4298,124.024,pop
4299,122.055,pop
4300,125.161,pop
4301,125.932,pop
4302,125.983,pop
4303,109.989,pop
4304,127.977,pop
4305,128.044,pop
4306,105.027,pop
4307,125.993,pop
4308,100.012,pop
4309,110.004,pop
4310,104.592,pop
4461,125.928,pop
4462,97.028,pop
4463,104.945,pop
4464,128.069,pop
4465,128.041,pop
4466,109.999,pop
4467,127.936,pop
4468,100.152,pop
4469,129.952,pop
4470,127.993,pop
4471,123.986,pop
4472,127.924,pop
4473,96.097,pop
4474,98.992,pop
4475,127.0,pop
4476,125.958,pop
4477,145.168,pop
4478,126.038,pop
4479,118.017,pop
4480,125.076,pop
4481,127.968,pop
4482,130.005,pop
4483,99.831,pop
4564,81.019,pop
4565,136.956,pop
4566,99.031,pop
4570,93.01,pop
4571,130.0,pop
4572,109.012,pop
4573,128.945,pop
4574,125.026,pop
4575,119.98,pop
4577,136.807,pop
4578,118.024,pop
4579,124.959,pop
4580,121.993,pop
4584,159.927,pop
4585,114.06,pop
4586,106.023,pop
4587,119.954,pop
4588,94.007,pop
4628,96.021,pop
4642,88.999,pop
4643,118.491,pop
4997,123.955,pop
4998,123.986,pop
4999,125.948,pop
5000,109.993,pop
5001,115.172,pop
5002,100.034,pop
5003,89.909,pop
5004,128.956,pop
5005,114.051,pop
5006,179.913,pop
5007,109.999,pop
5008,167.811,pop
5009,123.97,pop
5010,124.023,pop
5011,122.023,pop
5028,145.127,pop
5029,120.99,pop
5052,125.032,pop
5053,121.985,pop
5054,117.833,pop
5055,123.951,pop
5056,122.032,pop
5057,128.024,pop
5058,124.975,pop
5059,123.952,pop
5060,121.993,pop
5061,124.081,pop
5062,128.091,pop
5063,118.051,pop
5064,123.919,pop
5065,123.938,pop
5066,127.997,pop
5071,119.885,pop
5073,121.984,pop
5074,128.082,pop
5075,112.648,pop
5076,123.976,pop
5077,121.956,pop
5118,103.005,pop
5159,99.989,pop
5171,121.956,pop
5172,127.984,pop
5173,124.008,pop
5174,116.892,pop
5175,122.041,pop
5176,121.968,pop
5177,129.975,pop
5178,126.026,pop
5179,124.019,pop
5180,99.972,pop
5181,135.016,pop
5182,122.676,pop
5183,121.975,pop
5184,124.015,pop
5185,126.092,pop
5186,124.998,pop
5187,125.984,pop
5188,115.018,pop
5189,118.02,pop
5190,80.444,pop
5191,125.157,pop
5192,125.977,pop
5206,124.933,pop
5208,124.994,pop
5209,121.978,pop
5210,125.996,pop
5212,110.018,pop
5218,125.055,pop
5219,130.997,pop
5220,116.025,pop
5221,99.988,pop
5222,120.92,pop
5228,96.181,pop
5229,124.039,pop
5230,149.967,pop
5231,124.938,pop
5233,110.055,pop
5234,125.009,pop
5235,119.991,pop
5236,120.004,pop
5619,99.904,pop
5620,131.084,pop
5621,107.96,pop
5622,117.99,pop
5628,140.039,pop
5629,94.981,pop
5630,100.005,pop
5631,74.744,pop
5632,98.012,pop
5633,119.958,pop
5634,131.02,pop
5635,100.01,pop
5636,143.912,pop
5637,124.072,pop
5638,127.955,pop
5639,122.925,pop
5640,100.037,pop
5641,97.113,pop
5642,140.061,pop
5643,113.028,pop
5644,99.982,pop
5645,114.015,pop
5646,173.736,pop
5647,128.014,pop
5648,98.035,pop
5649,124.025,pop
5650,129.993,pop
5651,142.017,pop
5652,109.995,pop
5653,154.85,pop
5654,150.129,pop
5655,139.935,pop
5656,120.017,pop
5657,141.131,pop
5658,150.112,pop
5659,84.011,pop
5660,144.039,pop
5661,91.975,pop
5662,105.03,pop
5780,127.898,pop
5781,107.013,pop
5782,119.951,pop
5783,110.002,pop
5784,149.935,pop
5785,106.017,pop
5786,159.924,pop
5787,120.006,pop
5788,99.044,pop
5789,177.774,pop
5790,100.037,pop
5791,103.969,pop
5792,131.979,pop
5793,147.893,pop
5794,139.946,pop
5795,106.012,pop
5796,97.95,pop
5811,127.931,pop
5812,138.265,pop
5813,126.816,pop
5871,121.996,pop
5872,121.978,pop
5900,124.726,pop
5901,122.902,pop
5920,106.896,pop
5921,100.1,pop
5922,140.042,pop
5923,104.961,pop
5924,111.99,pop
5925,120.003,pop
5926,116.047,pop
5927,100.163,pop
5928,121.294,pop
5942,122.012,pop
5943,128.031,pop
5944,135.002,pop
5960,114.995,pop
5961,99.979,pop
5962,130.014,pop
5963,112.057,pop
5964,108.007,pop
5965,130.156,pop
5966,109.054,pop
5967,74.994,pop
5968,157.623,pop
5981,115.095,pop
5982,105.013,pop
5983,109.002,pop
5984,159.937,pop
5985,128.001,pop
5986,137.015,pop
5987,129.995,pop
5988,114.042,pop
6001,93.039,pop
6002,100.065,pop
6003,108.007,pop
6004,128.05,pop
6005,126.023,pop
6018,125.007,pop
6019,130.951,pop
6020,129.006,pop
6021,128.002,pop
6022,128.01,pop
6023,100.025,pop
6024,107.004,pop
6025,161.225,pop
6026,106.046,pop
6027,118.033,pop
6028,174.165,pop
6029,94.1,pop
6030,188.085,pop
6031,169.557,pop
6032,109.977,pop
6033,120.09,pop
6034,80.0,pop
6035,135.003,pop
6036,144.027,pop
6037,159.945,pop
6038,159.978,pop
6047,115.994,pop
6048,175.973,pop
6054,134.011,pop
6055,126.967,pop
6056,99.996,pop
6057,118.98,pop
6058,130.042,pop
6059,127.058,pop
6060,160.165,pop
6061,150.029,pop
6062,129.937,pop
6063,169.944,pop
6064,124.017,pop
6065,120.932,pop
6066,128.004,pop
6067,132.019,pop
6068,170.019,pop
6069,118.004,pop
6070,150.024,pop
6071,127.032,pop
6072,127.994,pop
6076,87.46,pop
6083,134.997,pop
6084,95.019,pop
6085,132.993,pop
6092,147.965,pop
6106,99.979,pop
6108,149.829,pop
6109,159.888,pop
6115,132.019,pop
6116,132.053,pop
6125,155.157,pop
6126,108.046,pop
6132,141.975,pop
6133,149.908,pop
6134,111.98,pop
6152,89.968,pop
6153,97.963,pop
6154,157.815,pop
6155,121.981,pop
6156,125.994,pop
6157,188.02,pop
6158,124.921,pop
6159,118.011,pop
6160,119.951,pop
6161,108.038,pop
6162,101.997,pop
6163,76.536,pop
6164,96.009,pop
6165,110.065,pop
6166,111.967,pop
6169,175.788,pop
6170,101.994,pop
6171,123.015,pop
6213,105.046,pop
6249,102.999,pop
6250,104.011,pop
6273,120.092,pop
6274,102.023,pop
6275,147.06,pop
6276,103.018,pop
6277,102.044,pop
6278,127.082,pop
6279,125.005,pop
6394,145.944,pop
6395,103.072,pop
6396,137.872,pop
6397,86.331,pop
6398,121.621,pop
6407,159.419,pop
6426,122.012,pop
6507,139.945,pop
6508,137.99,pop
6562,128.025,pop
6563,94.028,pop
6564,103.018,pop
6565,97.954,pop
6580,104.993,pop
6596,125.115,pop
6597,92.069,pop
6598,100.013,pop
6599,100.1,pop
6600,113.884,pop
6601,98.38,pop
6649,98.985,pop
6650,132.893,pop
6651,113.986,pop
6652,135.039,pop
6653,92.452,pop
6654,68.11,pop
6655,95.958,pop
6656,127.899,pop
6657,170.122,pop
6821,205.903,pop
6822,125.984,pop
6823,103.027,pop
6824,159.929,pop
6833,122.987,pop
6834,122.959,pop
6836,97.479,pop
6843,129.867,pop
6844,127.946,pop
6845,128.63,pop
6846,129.884,pop
6847,85.979,pop
6848,102.061,pop
6849,153.649,pop
6850,92.161,pop
6878,141.153,pop
6879,103.391,pop
6881,116.719,pop
6911,102.993,pop
6927,121.028,pop
6928,110.169,pop
6929,126.025,pop
6936,118.384,pop
6937,97.053,pop
6938,115.036,pop
6981,126.03,pop
6982,124.043,pop
6983,70.142,pop
6984,106.083,pop
6985,110.065,pop
6991,158.087,pop
6996,117.016,pop
7003,119.991,pop
7004,182.123,pop
7005,130.089,pop
7316,97.621,pop
7317,125.299,pop
7318,114.988,pop
7319,74.999,pop
7320,112.022,pop
7338,173.987,pop
7339,102.951,pop
7340,93.008,pop
7341,91.978,pop
7351,92.135,pop
7352,127.536,pop
7353,89.675,pop
7363,93.353,pop
7364,111.662,pop
7365,159.965,pop
7366,77.99,pop
7367,100.997,pop
7369,123.872,pop
7370,112.275,pop
7371,172.205,pop
7372,85.016,pop
7373,101.998,pop
7376,161.988,pop
7377,97.391,pop
7378,94.806,pop
7379,120.001,pop
7380,123.018,pop
7381,123.063,pop
7382,99.999,pop
7383,89.297,pop
7384,121.958,pop
7385,92.935,pop
7386,183.039,pop
7387,90.542,pop
7388,82.475,pop
7389,99.984,pop
7390,120.04,pop
7391,92.023,pop
7392,113.917,pop
7393,110.014,pop
7395,133.99,pop
7396,109.985,pop
7401,92.943,pop
7404,119.25,pop
7408,80.003,pop
7409,95.055,pop
7410,109.942,pop
7411,140.008,pop
7412,80.744,pop
7413,144.032,pop
7414,134.042,pop
7415,107.995,pop
7419,119.949,pop
7420,198.732,pop
7421,89.851,pop
7422,119.999,pop
7424,145.022,pop
7425,138.058,pop
7428,80.974,pop
7429,156.028,pop
7430,105.001,pop
7431,133.94,pop
7432,114.041,pop
7433,123.966,pop
7436,125.99,pop
7437,97.807,pop
7438,119.985,pop
7439,86.758,pop
7440,127.853,pop
7441,150.004,pop
7442,91.982,pop
7443,117.285,pop
7444,95.987,pop
7445,141.917,pop
7446,128.003,pop
7447,140.004,pop
7448,110.291,pop
7449,185.727,pop
7450,116.983,pop
7451,117.932,pop
7452,142.851,pop
7457,119.933,pop
7458,143.099,pop
7461,134.052,pop
7462,88.244,pop
7463,127.086,pop
7464,169.515,pop
7465,84.966,pop
7466,109.984,pop
7467,159.998,pop
7468,105.036,pop
7469,89.15,pop
9009,76.026,pop
9010,140.012,pop
9011,123.99,pop
9012,128.005,pop
9013,129.939,pop
9014,154.881,pop
9015,148.064,pop
9016,144.98,pop
9017,95.162,pop
9018,97.984,pop
9026,120.113,pop
9027,125.873,pop
9028,136.019,pop
9029,118.02,pop
9030,163.255,pop
9211,134.198,pop
9212,99.183,pop
9244,137.991,pop
9245,180.066,pop
9246,155.882,pop
9259,122.026,pop
9260,110.879,pop
9261,148.964,pop
9281,176.088,pop
9282,62.619,pop
9359,139.958,pop
9360,128.012,pop
9361,105.164,pop
9374,73.051,pop
9382,174.973,pop
9384,169.088,pop
9385,180.043,pop
9386,90.023,pop
9387,154.029,pop
9388,99.112,pop
9389,149.961,pop
9390,89.881,pop
9391,82.004,pop
9392,98.011,pop
9393,132.995,pop
9394,94.189,pop
9395,141.019,pop
9396,145.386,pop
9397,132.251,pop
9398,168.015,pop
9399,155.07,pop
9400,90.024,pop
9410,118.989,pop
9411,104.957,pop
9412,104.954,pop
9413,100.847,pop
9414,77.734,pop
9415,102.042,pop
9417,78.616,pop
9848,74.946,pop
9849,89.98,pop
9937,137.044,pop
9951,114.003,pop
9952,98.001,pop
9953,119.991,pop
9954,100.001,pop
9955,171.086,pop
9956,140.887,pop
9957,92.007,pop
9958,80.014,pop
9959,115.032,pop
9965,156.01,pop
9966,118.03,pop
9967,95.043,pop
9968,127.974,pop
9969,107.026,pop
9970,99.714,pop
9971,113.021,pop
9972,156.112,pop
9973,101.034,pop
9974,160.024,pop
9975,87.622,pop
9976,137.96,pop
9977,133.975,pop
9978,109.943,pop
9979,111.972,pop
9980,141.024,pop
9981,84.639,pop
9982,143.975,pop
9983,111.97,pop
9984,131.056,pop
9985,87.987,pop
9986,80.004,pop
9987,164.252,pop
9988,111.901,pop
9989,149.978,pop
9995,123.952,pop
9996,128.914,pop
9997,129.932,pop
9998,125.006,pop
9999,90.076,pop
10021,132.983,pop
10022,90.036,pop
10034,94.042,pop
10043,120.001,pop
10044,95.093,pop
10045,107.178,pop
10047,169.955,pop
10048,93.004,pop
10049,95.998,pop
10050,135.817,pop
10054,104.058,pop
10055,180.094,pop
10058,114.966,pop
10059,95.073,pop
10060,129.988,pop
10074,104.066,pop
10075,137.935,pop
10137,175.981,pop
10138,139.533,pop
10139,113.981,pop
10140,88.988,pop
10141,146.002,pop
10142,120.021,pop
10143,162.132,pop
10144,154.968,pop
10145,91.987,pop
10146,100.078,pop
10147,126.049,pop
10154,195.952,pop
10178,111.004,pop
10433,109.968,pop
10477,107.986,pop
10478,167.301,pop
10479,139.906,pop
10480,92.056,pop
10481,105.006,pop
10482,73.552,pop
10483,120.006,pop
10484,148.937,pop
10492,122.006,pop
10493,110.017,pop
10494,174.117,pop
10495,121.97,pop
10496,145.007,pop
10497,121.491,pop
10498,144.966,pop
10499,116.001,pop
10500,144.124,pop
10501,87.773,pop
10502,84.24,pop
10503,76.191,pop
10504,144.212,pop
10505,82.512,pop
10506,65.119,pop
10507,129.909,pop
10508,141.923,pop
10509,137.355,pop
10510,110.225,pop
10511,173.317,pop
10512,105.892,pop
10513,75.001,pop
10514,138.551,pop
10515,120.07,pop
10516,122.833,pop
10523,142.406,pop
10524,101.996,pop
10525,102.0,pop
10526,95.011,pop
10527,150.047,pop
10528,100.045,pop
10529,164.154,pop
10530,175.175,pop
10531,107.975,pop
10532,130.155,pop
10560,82.998,pop
10561,141.866,pop
10562,115.887,pop
10583,160.078,pop
10584,152.881,pop
10585,129.635,pop
10586,75.939,pop
10587,75.991,pop
10588,91.892,pop
10589,95.018,pop
10590,135.022,pop
10591,89.799,pop
10592,87.989,pop
10593,131.783,pop
10594,73.953,pop
10595,129.052,pop
10596,115.982,pop
10597,107.005,pop
10598,99.986,pop
10599,124.548,pop
10612,78.236,pop
11098,122.984,pop
11099,120.024,pop
11100,91.911,pop
11101,120.12,pop
11103,114.906,pop
11104,99.259,pop
11105,126.998,pop
11106,104.985,pop
11107,131.028,pop
11108,105.074,pop
11109,94.05,pop
11110,175.868,pop
11111,125.135,pop
11112,130.083,pop
11130,122.458,pop
11131,100.064,pop
11132,111.829,pop
11141,98.992,pop
11229,121.993,pop
11230,175.021,pop
11236,114.725,pop
11237,126.986,pop
11238,96.032,pop
11246,163.832,pop
11247,119.946,pop
11248,122.019,pop
11249,148.075,pop
11250,124.992,pop
11251,124.81,pop
11252,127.961,pop
11253,121.999,pop
11254,119.99,pop
11255,122.003,pop
11271,124.023,pop
11272,122.432,pop
11327,79.806,pop
11328,110.008,pop
11329,89.974,pop
11330,111.995,pop
11331,96.009,pop
11332,124.007,pop
11333,122.229,pop
11334,123.984,pop
11335,119.988,pop
11338,105.517,pop
11339,116.957,pop
11340,175.953,pop
11341,117.974,pop
11342,119.012,pop
11343,130.075,pop
11344,132.009,pop
11345,124.943,pop
11346,124.061,pop
11347,107.059,pop
11358,120.002,pop
11359,150.074,pop
11360,104.608,pop
11418,142.024,pop
11438,124.983,pop
11439,172.009,pop
11440,174.953,pop
11441,185.946,pop
11442,128.025,pop
11444,194.0,pop
11445,97.005,pop
11446,124.861,pop
11447,119.983,pop
11644,94.997,pop
11645,169.977,pop
11646,90.936,pop
11647,101.408,pop
11648,98.02,pop
11649,132.178,pop
