,danceability,playlist_genre
2035,0.705,pop
2036,0.704,pop
2037,0.792,pop
2038,0.676,pop
2039,0.868,pop
2040,0.752,pop
2041,0.72,pop
2046,0.627,pop
2047,0.771,pop
2048,0.715,pop
2049,0.79,pop
2050,0.805,pop
2061,0.502,pop
2062,0.638,pop
2063,0.685,pop
2064,0.601,pop
2065,0.762,pop
2066,0.707,pop
2067,0.79,pop
2068,0.733,pop
2070,0.728,pop
2117,0.65,pop
2118,0.725,pop
2119,0.562,pop
2120,0.612,pop
2121,0.617,pop
2122,0.653,pop
2123,0.789,pop
2124,0.692,pop
2125,0.712,pop
2142,0.731,pop
2143,0.711,pop
2161,0.845,pop
2162,0.687,pop
2182,0.697,pop
2183,0.787,pop
2184,0.702,pop
2185,0.703,pop
2186,0.743,pop
2450,0.385,pop
2451,0.54,pop
2452,0.676,pop
2453,0.651,pop
2454,0.783,pop
2455,0.435,pop
2456,0.696,pop
2457,0.819,pop
2458,0.73,pop
2459,0.658,pop
2460,0.647,pop
2461,0.426,pop
2462,0.518,pop
2463,0.807,pop
2464,0.533,pop
2465,0.61,pop
2466,0.454,pop
2467,0.338,pop
2468,0.674,pop
2469,0.676,pop
2470,0.55,pop
2471,0.637,pop
2485,0.658,pop
2486,0.495,pop
2487,0.422,pop
2488,0.548,pop
2489,0.609,pop
2490,0.879,pop
2491,0.779,pop
2492,0.746,pop
2493,0.385,pop
2511,0.658,pop
2512,0.702,pop
2513,0.538,pop
2514,0.718,pop
2515,0.713,pop
2516,0.601,pop
2517,0.613,pop
2518,0.502,pop
2519,0.534,pop
2520,0.658,pop
2521,0.566,pop
2522,0.696,pop
2523,0.686,pop
2525,0.63,pop
2526,0.72,pop
2642,0.575,pop
2643,0.49,pop
2644,0.682,pop
2645,0.643,pop
2646,0.562,pop
2647,0.538,pop
2648,0.625,pop
2649,0.629,pop
2650,0.631,pop
2651,0.578,pop
2652,0.512,pop
2653,0.542,pop
2654,0.71,pop
2693,0.612,pop
2701,0.759,pop
2702,0.618,pop
2703,0.641,pop
2704,0.662,pop
2705,0.683,pop
2706,0.611,pop
2707,0.449,pop
2708,0.458,pop
2709,0.691,pop
2710,0.357,pop
2711,0.487,pop
2712,0.661,pop
2713,0.301,pop
2714,0.512,pop
2715,0.464,pop
2795,0.56,pop
2796,0.565,pop
2797,0.649,pop
2798,0.587,pop
2799,0.425,pop
2800,0.76,pop
2801,0.841,pop
2802,0.602,pop
2803,0.762,pop
2804,0.71,pop
2805,0.621,pop
2806,0.936,pop
2807,0.619,pop
2808,0.639,pop
2809,0.638,pop
2810,0.509,pop
2830,0.471,pop
2831,0.603,pop
2832,0.699,pop
2835,0.882,pop
2836,0.659,pop
2837,0.558,pop
2848,0.658,pop
2849,0.63,pop
2850,0.64,pop
2851,0.522,pop
2852,0.676,pop
2853,0.493,pop
2854,0.653,pop
2874,0.771,pop
2875,0.766,pop
2893,0.632,pop
2894,0.581,pop
2895,0.547,pop
2896,0.666,pop
2897,0.766,pop
2898,0.638,pop
2899,0.699,pop
2900,0.577,pop
2901,0.414,pop
2902,0.738,pop
2903,0.576,pop
2904,0.758,pop
2905,0.712,pop
2906,0.571,pop
2907,0.644,pop
2908,0.518,pop
2909,0.473,pop
2966,0.802,pop
2968,0.646,pop
2969,0.693,pop
2970,0.717,pop
2971,0.763,pop
2972,0.856,pop
2973,0.654,pop
2974,0.713,pop
2975,0.545,pop
2976,0.583,pop
2977,0.691,pop
2978,0.758,pop
2979,0.58,pop
2980,0.707,pop
2981,0.644,pop
2982,0.488,pop
2983,0.831,pop
2984,0.717,pop
3004,0.597,pop
3005,0.685,pop
3006,0.335,pop
3007,0.403,pop
3008,0.674,pop
3009,0.518,pop
3010,0.388,pop
3011,0.755,pop
3012,0.795,pop
3013,0.722,pop
3014,0.869,pop
3029,0.669,pop
3030,0.567,pop
3031,0.721,pop
3032,0.63,pop
3033,0.762,pop
3034,0.577,pop
3035,0.795,pop
3036,0.791,pop
3037,0.904,pop
3046,0.772,pop
3047,0.664,pop
3048,0.781,pop
3049,0.789,pop
3053,0.682,pop
3055,0.57,pop
3073,0.67,pop
3074,0.708,pop
3107,0.66,pop
3118,0.517,pop
3119,0.471,pop
3121,0.66,pop
3122,0.591,pop
3139,0.712,pop
3143,0.561,pop
3144,0.669,pop
3404,0.607,pop
3416,0.747,pop
3417,0.447,pop
3418,0.721,pop
3419,0.71,pop
3420,0.636,pop
3421,0.727,pop
3422,0.891,pop
3423,0.829,pop
3427,0.624,pop
3430,0.365,pop
3612,0.738,pop
3613,0.802,pop
3616,0.649,pop
3617,0.705,pop
3618,0.567,pop
3619,0.718,pop
3620,0.847,pop
3621,0.742,pop
3622,0.549,pop
3623,0.74,pop
3624,0.638,pop
3625,0.866,pop
3626,0.554,pop
3627,0.684,pop
3628,0.711,pop
3630,0.392,pop
3631,0.763,pop
3632,0.625,pop
3633,0.621,pop
3634,0.729,pop
3635,0.713,pop
3636,0.705,pop
3637,0.62,pop
3638,0.834,pop
3653,0.679,pop
3680,0.625,pop
3681,0.677,pop
3683,0.792,pop
3689,0.704,pop
3690,0.599,pop
3691,0.539,pop
3695,0.836,pop
3696,0.655,pop
3697,0.604,pop
3698,0.608,pop
3699,0.789,pop
3700,0.486,pop
3701,0.695,pop
3702,0.738,pop
3717,0.697,pop
3718,0.716,pop
3722,0.474,pop
3723,0.624,pop
3724,0.626,pop
3725,0.448,pop
3726,0.764,pop
3727,0.553,pop
3728,0.636,pop
3755,0.837,pop
3756,0.826,pop
3757,0.736,pop
3758,0.803,pop
3759,0.695,pop
3760,0.746,pop
3761,0.63,pop
3762,0.787,pop
3800,0.561,pop
3827,0.679,pop
3828,0.637,pop
3829,0.789,pop
3830,0.628,pop
3831,0.885,pop
3832,0.393,pop
3833,0.813,pop
3834,0.344,pop
3835,0.547,pop
3836,0.609,pop
3837,0.668,pop
3838,0.711,pop
3839,0.741,pop
3840,0.563,pop
3841,0.769,pop
3843,0.74,pop
3844,0.673,pop
3845,0.627,pop
3849,0.755,pop
3850,0.824,pop
3857,0.615,pop
3859,0.656,pop
3860,0.792,pop
3862,0.598,pop
3874,0.707,pop
3875,0.69,pop
3876,0.684,pop
3877,0.615,pop
3880,0.466,pop
3881,0.776,pop
3882,0.585,pop
3883,0.668,pop
3884,0.495,pop
3885,0.533,pop
3933,0.835,pop
3934,0.799,pop
3935,0.874,pop
3936,0.59,pop
3937,0.748,pop
3938,0.494,pop
3939,0.704,pop
3940,0.336,pop
3941,0.654,pop
3945,0.751,pop
3946,0.678,pop
3947,0.652,pop
3948,0.633,pop
3949,0.554,pop
3950,0.608,pop
3951,0.499,pop
3952,0.545,pop
3964,0.781,pop
3965,0.671,pop
4077,0.786,pop
4080,0.704,pop
4081,0.719,pop
4082,0.76,pop
4083,0.785,pop
4084,0.782,pop
4085,0.658,pop
4086,0.839,pop
4087,0.565,pop
4088,0.58,pop
4090,0.7,pop
4091,0.709,pop
4092,0.674,pop
4093,0.702,pop
4094,0.598,pop
4095,0.76,pop
4096,0.616,pop
4097,0.787,pop
4098,0.563,pop
4099,0.729,pop
4100,0.76,pop
4101,0.734,pop
4102,0.732,pop
4103,0.697,pop
4104,0.64,pop
4105,0.649,pop
4106,0.76,pop
4107,0.709,pop
4108,0.75,pop
4109,0.673,pop
4110,0.615,pop
4111,0.672,pop
4112,0.718,pop
4113,0.725,pop
4114,0.752,pop
4115,0.797,pop
4116,0.817,pop
4117,0.791,pop
4118,0.496,pop
4119,0.532,pop
4120,0.358,pop
4121,0.659,pop
4122,0.309,pop
4123,0.631,pop
4124,0.695,pop
4125,0.832,pop
4126,0.7,pop
4127,0.667,pop
4135,0.654,pop
4136,0.727,pop
4137,0.671,pop
4138,0.737,pop
4139,0.675,pop
4140,0.758,pop
4141,0.655,pop
4142,0.617,pop
4143,0.567,pop
4144,0.606,pop
4145,0.597,pop
4146,0.69,pop
4148,0.46,pop
4157,0.711,pop
4180,0.726,pop
4181,0.287,pop
4182,0.747,pop
4186,0.703,pop
4187,0.616,pop
4188,0.61,pop
4189,0.672,pop
4196,0.831,pop
4197,0.848,pop
4198,0.694,pop
4199,0.722,pop
4200,0.566,pop
4201,0.755,pop
4202,0.68,pop
4203,0.817,pop
4204,0.565,pop
4205,0.671,pop
4206,0.733,pop
4207,0.681,pop
4208,0.634,pop
4209,0.76,pop
4215,0.736,pop
4216,0.776,pop
4219,0.731,pop
4221,0.646,pop
4222,0.638,pop
4223,0.697,pop
4238,0.577,pop
4244,0.619,pop
4245,0.577,pop
4246,0.724,pop
4247,0.426,pop
4248,0.683,pop
4249,0.623,pop
4250,0.413,pop
4251,0.577,pop
4254,0.73,pop
4255,0.594,pop
4256,0.678,pop
4257,0.648,pop
4258,0.88,pop
4259,0.658,pop
4260,0.512,pop
4261,0.746,pop
4262,0.507,pop
4263,0.554,pop
4264,0.776,pop
4265,0.346,pop
4266,0.8,pop
4267,0.693,pop
4268,0.912,pop
4269,0.687,pop
4270,0.58,pop
4271,0.569,pop
4272,0.572,pop
4282,0.876,pop
4283,0.604,pop
4284,0.69,pop
4285,0.652,pop
4286,0.626,pop
4287,0.566,pop
4288,0.706,pop
4289,0.592,pop
4290,0.657,pop
4291,0.753,pop
4292,0.752,pop
4293,0.684,pop
4294,0.768,pop
4295,0.588,pop
4296,0.708,pop
4297,0.686,pop
4298,0.605,pop
4299,0.63,pop
4300,0.707,pop
4301,0.696,pop
4302,0.691,pop
4303,0.734,pop
4304,0.609,pop
4305,0.6,pop
4306,0.763,pop
4307,0.724,pop
4308,0.771,pop
4309,0.814,pop
4310,0.401,pop
4461,0.768,pop
4462,0.836,pop
4463,0.729,pop
4464,0.736,pop
4465,0.659,pop
4466,0.556,pop
4467,0.517,pop
4468,0.643,pop
4469,0.723,pop
4470,0.698,pop
4471,0.671,pop
4472,0.597,pop
4473,0.669,pop
4474,0.472,pop
4475,0.668,pop
4476,0.751,pop
4477,0.55,pop
4478,0.851,pop
4479,0.816,pop
4480,0.694,pop
4481,0.519,pop
4482,0.822,pop
4483,0.509,pop
4564,0.623,pop
4565,0.541,pop
4566,0.689,pop
4570,0.641,pop
4571,0.73,pop
4572,0.637,pop
4573,0.566,pop
4574,0.628,pop
4575,0.627,pop
4577,0.526,pop
4578,0.71,pop
4579,0.851,pop
4580,0.699,pop
4584,0.611,pop
4585,0.583,pop
4586,0.874,pop
4587,0.839,pop
4588,0.746,pop
4628,0.652,pop
4642,0.636,pop
4643,0.652,pop
4997,0.638,pop
4998,0.759,pop
4999,0.809,pop
5000,0.822,pop
5001,0.524,pop
5002,0.64,pop
5003,0.478,pop
5004,0.775,pop
5005,0.688,pop
5006,0.618,pop
5007,0.683,pop
5008,0.585,pop
5009,0.717,pop
5010,0.697,pop
5011,0.68,pop
5028,0.484,pop
5029,0.813,pop
5052,0.742,pop
5053,0.744,pop
5054,0.609,pop
5055,0.64,pop
5056,0.816,pop
5057,0.748,pop
5058,0.716,pop
5059,0.723,pop
5060,0.702,pop
5061,0.64,pop
5062,0.641,pop
5063,0.694,pop
5064,0.572,pop
5065,0.684,pop
5066,0.625,pop
5071,0.679,pop
5073,0.679,pop
5074,0.609,pop
5075,0.449,pop
5076,0.65,pop
5077,0.718,pop
5118,0.667,pop
5159,0.6,pop
5171,0.789,pop
5172,0.535,pop
5173,0.846,pop
5174,0.678,pop
5175,0.755,pop
5176,0.622,pop
5177,0.563,pop
5178,0.633,pop
5179,0.728,pop
5180,0.726,pop
5181,0.708,pop
5182,0.467,pop
5183,0.69,pop
5184,0.714,pop
5185,0.679,pop
5186,0.607,pop
5187,0.607,pop
5188,0.748,pop
5189,0.542,pop
5190,0.355,pop
5191,0.588,pop
5192,0.649,pop
5206,0.675,pop
5208,0.784,pop
5209,0.814,pop
5210,0.663,pop
5212,0.62,pop
5218,0.818,pop
5219,0.786,pop
5220,0.661,pop
5221,0.817,pop
5222,0.679,pop
5228,0.605,pop
5229,0.796,pop
5230,0.696,pop
5231,0.629,pop
5233,0.688,pop
5234,0.852,pop
5235,0.689,pop
5236,0.81,pop
5619,0.662,pop
5620,0.71,pop
5621,0.733,pop
5622,0.591,pop
5628,0.547,pop
5629,0.664,pop
5630,0.772,pop
5631,0.206,pop
5632,0.671,pop
5633,0.68,pop
5634,0.64,pop
5635,0.656,pop
5636,0.225,pop
5637,0.664,pop
5638,0.595,pop
5639,0.557,pop
5640,0.454,pop
5641,0.789,pop
5642,0.495,pop
5643,0.731,pop
5644,0.692,pop
5645,0.622,pop
5646,0.426,pop
5647,0.544,pop
5648,0.637,pop
5649,0.685,pop
5650,0.537,pop
5651,0.643,pop
5652,0.617,pop
5653,0.476,pop
5654,0.434,pop
5655,0.66,pop
5656,0.845,pop
5657,0.589,pop
5658,0.528,pop
5659,0.338,pop
5660,0.545,pop
5661,0.582,pop
5662,0.661,pop
5780,0.494,pop
5781,0.722,pop
5782,0.676,pop
5783,0.718,pop
5784,0.68,pop
5785,0.668,pop
5786,0.681,pop
5787,0.601,pop
5788,0.792,pop
5789,0.399,pop
5790,0.48,pop
5791,0.672,pop
5792,0.573,pop
5793,0.529,pop
5794,0.694,pop
5795,0.634,pop
5796,0.645,pop
5811,0.591,pop
5812,0.209,pop
5813,0.491,pop
5871,0.686,pop
5872,0.739,pop
5900,0.644,pop
5901,0.624,pop
5920,0.604,pop
5921,0.49,pop
5922,0.637,pop
5923,0.691,pop
5924,0.79,pop
5925,0.703,pop
5926,0.794,pop
5927,0.832,pop
5928,0.956,pop
5942,0.722,pop
5943,0.569,pop
5944,0.639,pop
5960,0.728,pop
5961,0.697,pop
5962,0.563,pop
5963,0.738,pop
5964,0.483,pop
5965,0.493,pop
5966,0.579,pop
5967,0.238,pop
5968,0.447,pop
5981,0.611,pop
5982,0.678,pop
5983,0.708,pop
5984,0.573,pop
5985,0.824,pop
5986,0.764,pop
5987,0.827,pop
5988,0.71,pop
6001,0.614,pop
6002,0.681,pop
6003,0.59,pop
6004,0.63,pop
6005,0.719,pop
6018,0.774,pop
6019,0.461,pop
6020,0.837,pop
6021,0.619,pop
6022,0.534,pop
6023,0.697,pop
6024,0.596,pop
6025,0.561,pop
6026,0.777,pop
6027,0.863,pop
6028,0.532,pop
6029,0.596,pop
6030,0.697,pop
6031,0.564,pop
6032,0.426,pop
6033,0.663,pop
6034,0.588,pop
6035,0.628,pop
6036,0.605,pop
6037,0.64,pop
6038,0.613,pop
6047,0.654,pop
6048,0.509,pop
6054,0.888,pop
6055,0.551,pop
6056,0.764,pop
6057,0.862,pop
6058,0.781,pop
6059,0.554,pop
6060,0.485,pop
6061,0.902,pop
6062,0.534,pop
6063,0.437,pop
6064,0.869,pop
6065,0.699,pop
6066,0.827,pop
6067,0.759,pop
6068,0.52,pop
6069,0.76,pop
6070,0.611,pop
6071,0.7,pop
6072,0.81,pop
6076,0.661,pop
6083,0.651,pop
6084,0.773,pop
6085,0.771,pop
6092,0.735,pop
6106,0.76,pop
6108,0.68,pop
6109,0.542,pop
6115,0.59,pop
6116,0.624,pop
6125,0.571,pop
6126,0.748,pop
6132,0.5,pop
6133,0.593,pop
6134,0.809,pop
6152,0.71,pop
6153,0.74,pop
6154,0.543,pop
6155,0.713,pop
6156,0.713,pop
6157,0.501,pop
6158,0.69,pop
6159,0.81,pop
6160,0.51,pop
6161,0.497,pop
6162,0.716,pop
6163,0.44,pop
6164,0.633,pop
6165,0.655,pop
6166,0.512,pop
6169,0.421,pop
6170,0.84,pop
6171,0.767,pop
6213,0.732,pop
6249,0.733,pop
6250,0.807,pop
6273,0.79,pop
6274,0.649,pop
6275,0.645,pop
6276,0.69,pop
6277,0.69,pop
6278,0.811,pop
6279,0.737,pop
6394,0.65,pop
6395,0.583,pop
6396,0.753,pop
6397,0.554,pop
6398,0.598,pop
6407,0.538,pop
6426,0.766,pop
6507,0.669,pop
6508,0.691,pop
6562,0.684,pop
6563,0.767,pop
6564,0.704,pop
6565,0.429,pop
6580,0.779,pop
6596,0.689,pop
6597,0.672,pop
6598,0.706,pop
6599,0.528,pop
6600,0.753,pop
6601,0.493,pop
6649,0.684,pop
6650,0.718,pop
6651,0.324,pop
6652,0.753,pop
6653,0.799,pop
6654,0.592,pop
6655,0.664,pop
6656,0.692,pop
6657,0.631,pop
6821,0.579,pop
6822,0.529,pop
6823,0.648,pop
6824,0.616,pop
6833,0.811,pop
6834,0.761,pop
6836,0.598,pop
6843,0.656,pop
6844,0.67,pop
6845,0.503,pop
6846,0.666,pop
6847,0.596,pop
6848,0.601,pop
6849,0.648,pop
6850,0.466,pop
6878,0.576,pop
6879,0.413,pop
6881,0.456,pop
6911,0.579,pop
6927,0.486,pop
6928,0.367,pop
6929,0.696,pop
6936,0.675,pop
6937,0.826,pop
6938,0.797,pop
6981,0.649,pop
6982,0.72,pop
6983,0.725,pop
6984,0.698,pop
6985,0.722,pop
6991,0.715,pop
6996,0.736,pop
7003,0.645,pop
7004,0.614,pop
7005,0.682,pop
7316,0.613,pop
7317,0.774,pop
7318,0.856,pop
7319,0.637,pop
7320,0.878,pop
7338,0.737,pop
7339,0.528,pop
7340,0.712,pop
7341,0.696,pop
7351,0.557,pop
7352,0.486,pop
7353,0.594,pop
7363,0.44,pop
7364,0.485,pop
7365,0.623,pop
7366,0.723,pop
7367,0.919,pop
7369,0.681,pop
7370,0.501,pop
7371,0.587,pop
7372,0.609,pop
7373,0.783,pop
7376,0.697,pop
7377,0.44,pop
7378,0.55,pop
7379,0.767,pop
7380,0.676,pop
7381,0.76,pop
7382,0.698,pop
7383,0.446,pop
7384,0.727,pop
7385,0.731,pop
7386,0.318,pop
7387,0.395,pop
7388,0.821,pop
7389,0.581,pop
7390,0.73,pop
7391,0.697,pop
7392,0.684,pop
7393,0.836,pop
7395,0.938,pop
7396,0.839,pop
7401,0.608,pop
7404,0.662,pop
7408,0.613,pop
7409,0.799,pop
7410,0.775,pop
7411,0.889,pop
7412,0.524,pop
7413,0.774,pop
7414,0.515,pop
7415,0.603,pop
7419,0.692,pop
7420,0.242,pop
7421,0.478,pop
7422,0.585,pop
7424,0.531,pop
7425,0.608,pop
7428,0.637,pop
7429,0.783,pop
7430,0.689,pop
7431,0.616,pop
7432,0.542,pop
7433,0.632,pop
7436,0.514,pop
7437,0.643,pop
7438,0.88,pop
7439,0.59,pop
7440,0.633,pop
7441,0.564,pop
7442,0.518,pop
7443,0.611,pop
7444,0.754,pop
7445,0.542,pop
7446,0.926,pop
7447,0.565,pop
7448,0.557,pop
7449,0.41,pop
7450,0.692,pop
7451,0.554,pop
7452,0.543,pop
7457,0.694,pop
7458,0.785,pop
7461,0.807,pop
7462,0.314,pop
7463,0.733,pop
7464,0.376,pop
7465,0.463,pop
7466,0.651,pop
7467,0.421,pop
7468,0.77,pop
7469,0.338,pop
9009,0.652,pop
9010,0.557,pop
9011,0.649,pop
9012,0.747,pop
9013,0.741,pop
9014,0.642,pop
9015,0.669,pop
9016,0.661,pop
9017,0.626,pop
9018,0.847,pop
9026,0.655,pop
9027,0.712,pop
9028,0.908,pop
9029,0.886,pop
9030,0.489,pop
9211,0.608,pop
9212,0.649,pop
9244,0.809,pop
9245,0.498,pop
9246,0.54,pop
9259,0.752,pop
9260,0.824,pop
9261,0.915,pop
9281,0.517,pop
9282,0.69,pop
9359,0.676,pop
9360,0.689,pop
9361,0.665,pop
9374,0.399,pop
9382,0.348,pop
9384,0.662,pop
9385,0.549,pop
9386,0.734,pop
9387,0.51,pop
9388,0.391,pop
9389,0.795,pop
9390,0.715,pop
9391,0.618,pop
9392,0.667,pop
9393,0.718,pop
9394,0.639,pop
9395,0.63,pop
9396,0.62,pop
9397,0.612,pop
9398,0.607,pop
9399,0.533,pop
9400,0.766,pop
9410,0.847,pop
9411,0.577,pop
9412,0.706,pop
9413,0.477,pop
9414,0.69,pop
9415,0.818,pop
9417,0.534,pop
9848,0.574,pop
9849,0.766,pop
9937,0.555,pop
9951,0.802,pop
9952,0.72,pop
9953,0.876,pop
9954,0.701,pop
9955,0.58,pop
9956,0.411,pop
9957,0.679,pop
9958,0.597,pop
9959,0.519,pop
9965,0.713,pop
9966,0.545,pop
9967,0.717,pop
9968,0.871,pop
9969,0.562,pop
9970,0.529,pop
9971,0.837,pop
9972,0.638,pop
9973,0.659,pop
9974,0.648,pop
9975,0.412,pop
9976,0.827,pop
9977,0.723,pop
9978,0.782,pop
9979,0.794,pop
9980,0.758,pop
9981,0.435,pop
9982,0.804,pop
9983,0.77,pop
9984,0.806,pop
9985,0.606,pop
9986,0.721,pop
9987,0.292,pop
9988,0.574,pop
9989,0.594,pop
9995,0.673,pop
9996,0.708,pop
9997,0.652,pop
9998,0.636,pop
9999,0.535,pop
10021,0.84,pop
10022,0.584,pop
10034,0.699,pop
10043,0.699,pop
10044,0.714,pop
10045,0.757,pop
10047,0.555,pop
10048,0.626,pop
10049,0.746,pop
10050,0.631,pop
10054,0.769,pop
10055,0.51,pop
10058,0.732,pop
10059,0.782,pop
10060,0.737,pop
10074,0.715,pop
10075,0.55,pop
10137,0.598,pop
10138,0.619,pop
10139,0.7,pop
10140,0.648,pop
10141,0.661,pop
10142,0.652,pop
10143,0.778,pop
10144,0.731,pop
10145,0.808,pop
10146,0.609,pop
10147,0.691,pop
10154,0.561,pop
10178,0.76,pop
10433,0.689,pop
10477,0.588,pop
10478,0.178,pop
10479,0.546,pop
10480,0.5,pop
10481,0.833,pop
10482,0.454,pop
10483,0.759,pop
10484,0.541,pop
10492,0.598,pop
10493,0.675,pop
10494,0.345,pop
10495,0.686,pop
10496,0.552,pop
10497,0.719,pop
10498,0.653,pop
10499,0.676,pop
10500,0.697,pop
10501,0.418,pop
10502,0.264,pop
10503,0.43,pop
10504,0.461,pop
10505,0.496,pop
10506,0.31,pop
10507,0.582,pop
10508,0.589,pop
10509,0.554,pop
10510,0.709,pop
10511,0.143,pop
10512,0.494,pop
10513,0.42,pop
10514,0.668,pop
10515,0.734,pop
10516,0.486,pop
10523,0.443,pop
10524,0.768,pop
10525,0.847,pop
10526,0.331,pop
10527,0.6,pop
10528,0.691,pop
10529,0.26,pop
10530,0.199,pop
10531,0.659,pop
10532,0.542,pop
10560,0.433,pop
10561,0.528,pop
10562,0.481,pop
10583,0.781,pop
10584,0.588,pop
10585,0.578,pop
10586,0.471,pop
10587,0.518,pop
10588,0.552,pop
10589,0.641,pop
10590,0.688,pop
10591,0.503,pop
10592,0.584,pop
10593,0.578,pop
10594,0.6,pop
10595,0.739,pop
10596,0.707,pop
10597,0.383,pop
10598,0.582,pop
10599,0.689,pop
10612,0.384,pop
11098,0.827,pop
11099,0.854,pop
11100,0.651,pop
11101,0.761,pop
11103,0.762,pop
11104,0.664,pop
11105,0.95,pop
11106,0.87,pop
11107,0.852,pop
11108,0.709,pop
11109,0.659,pop
11110,0.447,pop
11111,0.692,pop
11112,0.8,pop
11130,0.906,pop
11131,0.534,pop
11132,0.644,pop
11141,0.626,pop
11229,0.714,pop
11230,0.446,pop
11236,0.743,pop
11237,0.898,pop
11238,0.65,pop
11246,0.842,pop
11247,0.688,pop
11248,0.826,pop
11249,0.746,pop
11250,0.804,pop
11251,0.882,pop
11252,0.671,pop
11253,0.692,pop
11254,0.818,pop
11255,0.776,pop
11271,0.683,pop
11272,0.647,pop
11327,0.559,pop
11328,0.849,pop
11329,0.49,pop
11330,0.638,pop
11331,0.677,pop
11332,0.876,pop
11333,0.675,pop
11334,0.688,pop
11335,0.697,pop
11338,0.778,pop
11339,0.854,pop
11340,0.525,pop
11341,0.768,pop
11342,0.821,pop
11343,0.421,pop
11344,0.562,pop
11345,0.718,pop
11346,0.724,pop
11347,0.884,pop
11358,0.929,pop
11359,0.726,pop
11360,0.525,pop
11418,0.646,pop
11438,0.561,pop
11439,0.281,pop
11440,0.795,pop
11441,0.569,pop
11442,0.61,pop
11444,0.381,pop
11445,0.607,pop
11446,0.607,pop
11447,0.479,pop
11644,0.884,pop
11645,0.734,pop
11646,0.829,pop
11647,0.74,pop
11648,0.672,pop
11649,0.582,pop
